	popularity	song_id	artist_id	album_id	song_name	artist_name	album_name	explicit	disc_number	track_number	uri	tempo	type	key	loudness	mode	speechiness	liveness	valence	danceability	energy	track_href	analysis_url	duration_ms	time_signature	acousticness	instrumentalness	artist_genres	artist_popularity	album_popularity	album_release_date
0	74	5Q0Nhxo0l2bP3pNjpGJwV1	5YGY8feqx7naU7z4HrwZM6	64aKkqxc3Ur2LYIKeS5osS	Party In The U.S.A.	Miley Cyrus	The Time Of Our Lives	False	1	2	spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1	192.18	audio_features	10	-4.526	0	0.0675	0.0679	0.483	0.454	0.708	https://api.spotify.com/v1/tracks/5Q0Nhxo0l2bP3pNjpGJwV1	https://api.spotify.com/v1/audio-analysis/5Q0Nhxo0l2bP3pNjpGJwV1	202067	4	0.00124	0.000181	dance pop	80.0	64	2009-01-01
27	63	7ywzEdEuVG1lsjsRCGJfLy	5YGY8feqx7naU7z4HrwZM6	64aKkqxc3Ur2LYIKeS5osS	When I Look At You	Miley Cyrus	The Time Of Our Lives	False	1	3	spotify:track:7ywzEdEuVG1lsjsRCGJfLy	137.87	audio_features	6	-4.934	1	0.0276	0.109	0.198	0.465	0.569	https://api.spotify.com/v1/tracks/7ywzEdEuVG1lsjsRCGJfLy	https://api.spotify.com/v1/audio-analysis/7ywzEdEuVG1lsjsRCGJfLy	248587	3	0.135	0.0	dance pop	80.0	64	2009-01-01
45	69	0V8FYVlBFuXXTIvRnMbZyS	5YGY8feqx7naU7z4HrwZM6	1fc8tPf36cZhNYpNFrWh7o	The Climb	Miley Cyrus	Hannah Montana The Movie	False	1	8	spotify:track:0V8FYVlBFuXXTIvRnMbZyS	160.542	audio_features	4	-6.417	1	0.0343	0.0989	0.368	0.326	0.625	https://api.spotify.com/v1/tracks/0V8FYVlBFuXXTIvRnMbZyS	https://api.spotify.com/v1/audio-analysis/0V8FYVlBFuXXTIvRnMbZyS	236067	4	0.0882	0.0	dance pop	80.0	62	2009-01-01
72	75	7w5cxTEzp1rfV3KCy0Bd5N	7giUHu5pv6YTZgSkxxCcgh	39xrkt8RILtwa9DMyLkv32	Home	Edward Sharpe & The Magnetic Zeros	Up from Below	False	1	6	spotify:track:7w5cxTEzp1rfV3KCy0Bd5N	111.665	audio_features	2	-6.623	1	0.0318	0.177	0.137	0.542	0.589	https://api.spotify.com/v1/tracks/7w5cxTEzp1rfV3KCy0Bd5N	https://api.spotify.com/v1/audio-analysis/7w5cxTEzp1rfV3KCy0Bd5N	303200	4	0.292	0.000522	folk-pop	68.0	65	2009-07-14
99	73	5FEXPoPnzueFJQCPRIrC3c	0fA0VVWsXO9YnASrzqfmYu	47y3PbX8oIDCkYAFylCJz0	Day 'N' Nite (nightmare)	Kid Cudi	Man On The Moon: The End Of Day	False	1	7	spotify:track:5FEXPoPnzueFJQCPRIrC3c	138.035	audio_features	11	-6.362	0	0.0635	0.117	0.805	0.878	0.446	https://api.spotify.com/v1/tracks/5FEXPoPnzueFJQCPRIrC3c	https://api.spotify.com/v1/audio-analysis/5FEXPoPnzueFJQCPRIrC3c	221267	4	0.503	6.32e-06	hip hop	77.0	68	2009-01-01
126	71	5iSEsR6NKjlC9SrIJkyL3k	0fA0VVWsXO9YnASrzqfmYu	47y3PbX8oIDCkYAFylCJz0	Pursuit Of Happiness (nightmare)	Kid Cudi	Man On The Moon: The End Of Day	True	1	13	spotify:track:5iSEsR6NKjlC9SrIJkyL3k	115.293	audio_features	0	-8.906	1	0.0404	0.383	0.264	0.629	0.622	https://api.spotify.com/v1/tracks/5iSEsR6NKjlC9SrIJkyL3k	https://api.spotify.com/v1/audio-analysis/5iSEsR6NKjlC9SrIJkyL3k	295293	4	0.511	0.000174	hip hop	77.0	68	2009-01-01
153	66	1cdC9TCqyLwAlsw3fVJaJS	0fA0VVWsXO9YnASrzqfmYu	47y3PbX8oIDCkYAFylCJz0	Soundtrack 2 My Life	Kid Cudi	Man On The Moon: The End Of Day	True	1	2	spotify:track:1cdC9TCqyLwAlsw3fVJaJS	86.483	audio_features	7	-6.577	1	0.0935	0.395	0.493	0.524	0.76	https://api.spotify.com/v1/tracks/1cdC9TCqyLwAlsw3fVJaJS	https://api.spotify.com/v1/audio-analysis/1cdC9TCqyLwAlsw3fVJaJS	235627	4	0.475	2.18e-05	hip hop	77.0	68	2009-01-01
180	72	3kb72STxc2959ZqsTwu52i	26T3LtbuGT1Fu9m0eRq5X3	2vs5faN4o8NCNXAGLh3HJf	Ain't No Rest for the Wicked	Cage The Elephant	Cage The Elephant	False	1	3	spotify:track:3kb72STxc2959ZqsTwu52i	156.004	audio_features	0	-7.075	1	0.105	0.363	0.919	0.634	0.849	https://api.spotify.com/v1/tracks/3kb72STxc2959ZqsTwu52i	https://api.spotify.com/v1/audio-analysis/3kb72STxc2959ZqsTwu52i	175493	4	0.0438	0.0	alternative rock	74.0	63	2009-04-20
207	79	0KpfYajJVVGgQ32Dby7e9i	3FUY2gzHeIiaesXtOAdB7A	5lTCUyQrKcSmcw5ULkt75O	Hey, Soul Sister	Train	Hey, Soul Sister	False	1	1	spotify:track:0KpfYajJVVGgQ32Dby7e9i	97.03	audio_features	1	-4.432	0	0.0436	0.086	0.768	0.675	0.885	https://api.spotify.com/v1/tracks/0KpfYajJVVGgQ32Dby7e9i	https://api.spotify.com/v1/audio-analysis/0KpfYajJVVGgQ32Dby7e9i	216667	4	0.217	0.0	neo mellow	75.0	67	2009-08-06
234	70	0VZ9xPNa6ROafP6GYYuv2S	3FUY2gzHeIiaesXtOAdB7A	7tEPbuzTMNGSytEMdezXtS	Marry Me	Train	Save Me, San Francisco (Golden Gate Edition)	False	1	11	spotify:track:0VZ9xPNa6ROafP6GYYuv2S	86.577	audio_features	0	-8.456	1	0.0287	0.108	0.492	0.366	0.269	https://api.spotify.com/v1/tracks/0VZ9xPNa6ROafP6GYYuv2S	https://api.spotify.com/v1/audio-analysis/0VZ9xPNa6ROafP6GYYuv2S	205453	4	0.829	1.67e-05	neo mellow	75.0	65	2009
