X,popularity,song_id,artist_id,album_id,song_name,artist_name,album_name,explicit,disc_number,track_number,uri,tempo,type,key,loudness,mode,speechiness,liveness,valence,danceability,energy,track_href,analysis_url,duration_ms,time_signature,acousticness,instrumentalness,artist_genres,artist_popularity,album_popularity,album_release_date,,,
27,63,18IqyOGs1pRNZfbMo93r57,3Ayl7mCk0nScecqOzvNp6s,1VbyDS3tGhe4iHfIJ7AMtr,Sweetness,Jimmy Eat World,Bleed American,FALSE,1,5,spotify:track:18IqyOGs1pRNZfbMo93r57,135.253,audio_features,5,-4.412,1,0.038,0.286,0.656,0.491,0.888,https://api.spotify.com/v1/tracks/18IqyOGs1pRNZfbMo93r57,https://api.spotify.com/v1/audio-analysis/18IqyOGs1pRNZfbMo93r57,220027,4,0.00407,0,alternative rock,68,57,1/1/2001,,,
81,60,0fQlm2MUzqGDBPkuqq4U1Y,3Ayl7mCk0nScecqOzvNp6s,1VbyDS3tGhe4iHfIJ7AMtr,Hear You Me,Jimmy Eat World,Bleed American,FALSE,1,6,spotify:track:0fQlm2MUzqGDBPkuqq4U1Y,136.171,audio_features,4,-6.098,1,0.0273,0.254,0.149,0.474,0.513,https://api.spotify.com/v1/tracks/0fQlm2MUzqGDBPkuqq4U1Y,https://api.spotify.com/v1/audio-analysis/0fQlm2MUzqGDBPkuqq4U1Y,284373,3,0.0123,0.0402,alternative rock,68,57,1/1/2001,,,
117,72,2DlHlPMa4M17kufBvI2lEN,5eAWCfyUhZtHHtBdNk56l1,6jWde94ln40epKIQCd8XUh,Chop Suey!,System Of A Down,Toxicity,FALSE,1,6,spotify:track:2DlHlPMa4M17kufBvI2lEN,127.288,audio_features,7,-3.908,0,0.12,0.132,0.286,0.419,0.934,https://api.spotify.com/v1/tracks/2DlHlPMa4M17kufBvI2lEN,https://api.spotify.com/v1/audio-analysis/2DlHlPMa4M17kufBvI2lEN,210240,4,0.000278,0.0015,alternative metal,79,68,2001,,,
144,67,0snQkGI5qnAmohLE7jTsTn,5eAWCfyUhZtHHtBdNk56l1,6jWde94ln40epKIQCd8XUh,Toxicity,System Of A Down,Toxicity,FALSE,1,12,spotify:track:0snQkGI5qnAmohLE7jTsTn,116.681,audio_features,8,-4.151,1,0.0535,0.204,0.481,0.413,0.873,https://api.spotify.com/v1/tracks/0snQkGI5qnAmohLE7jTsTn,https://api.spotify.com/v1/audio-analysis/0snQkGI5qnAmohLE7jTsTn,218933,3,0.000264,0.0025,alternative metal,79,68,2001,,,
171,65,4e9eGQYsOiBcftrWXwsVco,5eAWCfyUhZtHHtBdNk56l1,6jWde94ln40epKIQCd8XUh,Aerials,System Of A Down,Toxicity,FALSE,1,14,spotify:track:4e9eGQYsOiBcftrWXwsVco,79.342,audio_features,0,-4.217,0,0.0566,0.0696,0.227,0.364,0.922,https://api.spotify.com/v1/tracks/4e9eGQYsOiBcftrWXwsVco,https://api.spotify.com/v1/audio-analysis/4e9eGQYsOiBcftrWXwsVco,235053,4,0.000918,0.035,alternative metal,79,68,2001,,,
198,57,3AwLxSqo1jOOMpNsgxqRNE,5eAWCfyUhZtHHtBdNk56l1,6jWde94ln40epKIQCd8XUh,Prison Song,System Of A Down,Toxicity,FALSE,1,1,spotify:track:3AwLxSqo1jOOMpNsgxqRNE,99.733,audio_features,1,-3.252,1,0.135,0.182,0.354,0.495,0.974,https://api.spotify.com/v1/tracks/3AwLxSqo1jOOMpNsgxqRNE,https://api.spotify.com/v1/audio-analysis/3AwLxSqo1jOOMpNsgxqRNE,201160,4,0.0202,8.31E-05,alternative metal,79,68,2001,,,
207,67,7kwiwQhWRBSP1PJv4ZFJUK,5eAWCfyUhZtHHtBdNk56l1,7JCeEZz5cHwIxnu7n0nFxM,Chop Suey!,System Of A Down,Toxicity,FALSE,1,6,spotify:track:7kwiwQhWRBSP1PJv4ZFJUK,127.204,audio_features,7,-3.899,0,0.121,0.122,0.3,0.42,0.929,https://api.spotify.com/v1/tracks/7kwiwQhWRBSP1PJv4ZFJUK,https://api.spotify.com/v1/audio-analysis/7kwiwQhWRBSP1PJv4ZFJUK,210240,4,0.000353,0.000747,alternative metal,79,59,9/4/2001,,,
210,77,2hKdd3qO7cWr2Jo0Bcs0MA,3FUY2gzHeIiaesXtOAdB7A,6j6Zgm7vzAZegr48UppFVT,Drops of Jupiter,Train,Drops Of Jupiter,FALSE,1,3,spotify:track:2hKdd3qO7cWr2Jo0Bcs0MA,79.297,audio_features,0,-5.862,1,0.0275,0.154,0.499,0.468,0.64,https://api.spotify.com/v1/tracks/2hKdd3qO7cWr2Jo0Bcs0MA,https://api.spotify.com/v1/audio-analysis/2hKdd3qO7cWr2Jo0Bcs0MA,259933,4,0.154,0,neo mellow,75,66,3/27/2001,,,
237,78,77NNZQSqzLNqh2A9JhLRkg,0rvjqX7ttXeg3mTy8Xscbt,5pfpXvoJtSIFrbPIoBEv3R,Don't Stop Believin',Journey,The Essential Journey,FALSE,1,2,spotify:track:77NNZQSqzLNqh2A9JhLRkg,119.25,audio_features,4,-7.106,1,0.0392,0.387,0.472,0.491,0.802,https://api.spotify.com/v1/tracks/77NNZQSqzLNqh2A9JhLRkg,https://api.spotify.com/v1/audio-analysis/77NNZQSqzLNqh2A9JhLRkg,248907,4,0.25,0,album rock,74,69,9/19/2001,,,
264,66,2DyHhPyCZgZzNXn1IrtsTu,0rvjqX7ttXeg3mTy8Xscbt,5pfpXvoJtSIFrbPIoBEv3R,Any Way You Want It,Journey,The Essential Journey,FALSE,1,5,spotify:track:2DyHhPyCZgZzNXn1IrtsTu,138.162,audio_features,7,-7.137,1,0.0471,0.137,0.586,0.519,0.934,https://api.spotify.com/v1/tracks/2DyHhPyCZgZzNXn1IrtsTu,https://api.spotify.com/v1/audio-analysis/2DyHhPyCZgZzNXn1IrtsTu,201867,4,0.000312,0.00457,album rock,74,69,9/19/2001,,,
300,59,6DXv7vJPrDRxo3Lnh4bacS,0rvjqX7ttXeg3mTy8Xscbt,5pfpXvoJtSIFrbPIoBEv3R,Wheel in the Sky,Journey,The Essential Journey,FALSE,1,3,spotify:track:6DXv7vJPrDRxo3Lnh4bacS,105.694,audio_features,2,-7.039,0,0.06,0.126,0.399,0.483,0.764,https://api.spotify.com/v1/tracks/6DXv7vJPrDRxo3Lnh4bacS,https://api.spotify.com/v1/audio-analysis/6DXv7vJPrDRxo3Lnh4bacS,252640,4,0.068,2.42E-06,album rock,74,69,9/19/2001,,,
309,72,2MLHyLy5z5l5YRp7momlgw,3jOstUTkEu2JkjvRdBA5Gu,2OBSz5Nlto0Q5CtYPzPY7c,Island In The Sun,Weezer,Weezer (Green Album),FALSE,1,4,spotify:track:2MLHyLy5z5l5YRp7momlgw,114.647,audio_features,4,-6.222,0,0.0273,0.144,0.782,0.646,0.778,https://api.spotify.com/v1/tracks/2MLHyLy5z5l5YRp7momlgw,https://api.spotify.com/v1/audio-analysis/2MLHyLy5z5l5YRp7momlgw,200307,4,0.0108,0.00654,alternative metal,73,62,5/15/2001,,,
336,59,2mPMFJvQ0v27gVqe5b6nDn,3jOstUTkEu2JkjvRdBA5Gu,2OBSz5Nlto0Q5CtYPzPY7c,Hash Pipe,Weezer,Weezer (Green Album),FALSE,1,3,spotify:track:2mPMFJvQ0v27gVqe5b6nDn,125.584,audio_features,7,-6.242,1,0.047,0.279,0.527,0.582,0.88,https://api.spotify.com/v1/tracks/2mPMFJvQ0v27gVqe5b6nDn,https://api.spotify.com/v1/audio-analysis/2mPMFJvQ0v27gVqe5b6nDn,186533,4,0.000119,0.335,alternative metal,73,62,5/15/2001,,,
372,77,6e40mgJiCid5HRAGrbpGA6,5rSXSAkZ67PYJSvpUpkOr7,1NslKOZobWxINFaFkLol3r,I Want It That Way,Backstreet Boys,The Hits--Chapter One,FALSE,1,1,spotify:track:6e40mgJiCid5HRAGrbpGA6,99.031,audio_features,6,-5.642,0,0.0261,0.159,0.484,0.689,0.702,https://api.spotify.com/v1/tracks/6e40mgJiCid5HRAGrbpGA6,https://api.spotify.com/v1/audio-analysis/6e40mgJiCid5HRAGrbpGA6,213600,4,0.216,0,boy band,76,67,10/29/2001,,,
399,69,7yMiX7n9SBvadzox8T5jzT,3AA28KZvwAUcZuOKwyblJQ,0YvYmLBFFwYxgI4U9KKgUm,Clint Eastwood,Gorillaz,Gorillaz,TRUE,1,5,spotify:track:7yMiX7n9SBvadzox8T5jzT,167.964,audio_features,10,-8.627,0,0.172,0.0698,0.524,0.663,0.694,https://api.spotify.com/v1/tracks/7yMiX7n9SBvadzox8T5jzT,https://api.spotify.com/v1/audio-analysis/7yMiX7n9SBvadzox8T5jzT,340920,4,0.0249,0,,NA,61,2001,,,
408,68,7CpbhqKUedOIrcvc94p60Y,1E4r4z7ivGUcSAnCbINJ9v,089oyV5caclve3ap934iRw,Bodies,Drowning Pool,Sinner,FALSE,1,2,spotify:track:7CpbhqKUedOIrcvc94p60Y,130.936,audio_features,4,-3.405,0,0.0708,0.144,0.544,0.656,0.932,https://api.spotify.com/v1/tracks/7CpbhqKUedOIrcvc94p60Y,https://api.spotify.com/v1/audio-analysis/7CpbhqKUedOIrcvc94p60Y,201960,4,0.00347,0.00147,,NA,59,1/1/2001,,,
417,58,3ENHpbTuY72FukZbwGP6bc,1E4r4z7ivGUcSAnCbINJ9v,089oyV5caclve3ap934iRw,Tear Away,Drowning Pool,Sinner,FALSE,1,3,spotify:track:3ENHpbTuY72FukZbwGP6bc,132.983,audio_features,0,-4.579,1,0.0441,0.0846,0.457,0.611,0.648,https://api.spotify.com/v1/tracks/3ENHpbTuY72FukZbwGP6bc,https://api.spotify.com/v1/audio-analysis/3ENHpbTuY72FukZbwGP6bc,254200,4,0.00055,0.0028,,NA,59,1/1/2001,,,
420,77,0gmbgwZ8iqyMPmXefof8Yf,6deZN1bslXzeGvOLaLMOIF,5fKL7vMTXvhR9tov8Kqt3u,How You Remind Me,Nickelback,Silver Side Up,FALSE,1,2,spotify:track:0gmbgwZ8iqyMPmXefof8Yf,172.094,audio_features,10,-5.042,1,0.033,0.099,0.543,0.446,0.764,https://api.spotify.com/v1/tracks/0gmbgwZ8iqyMPmXefof8Yf,https://api.spotify.com/v1/audio-analysis/0gmbgwZ8iqyMPmXefof8Yf,223840,4,0.00135,0,,NA,67,9/11/2001,,,
429,75,7vFv0yFGMJW3qVXbAd9BK9,0hEurMDQu99nJRq8pTxO14,3yHOaiXecTJVUdn7mApZ48,Your Body Is a Wonderland,John Mayer,Room For Squares,FALSE,1,4,spotify:track:7vFv0yFGMJW3qVXbAd9BK9,94.01,audio_features,5,-6.251,1,0.0236,0.134,0.687,0.647,0.729,https://api.spotify.com/v1/tracks/7vFv0yFGMJW3qVXbAd9BK9,https://api.spotify.com/v1/audio-analysis/7vFv0yFGMJW3qVXbAd9BK9,249627,4,0.0206,0.0489,,NA,68,8/16/2001,,,
438,62,1c7UYTut2SBOPq64o2t0uN,0hEurMDQu99nJRq8pTxO14,3yHOaiXecTJVUdn7mApZ48,Why Georgia,John Mayer,Room For Squares,FALSE,1,2,spotify:track:1c7UYTut2SBOPq64o2t0uN,96.915,audio_features,7,-7.205,1,0.0246,0.0893,0.369,0.608,0.639,https://api.spotify.com/v1/tracks/1c7UYTut2SBOPq64o2t0uN,https://api.spotify.com/v1/audio-analysis/1c7UYTut2SBOPq64o2t0uN,268973,4,0.0208,5.94E-05,,NA,68,8/16/2001,,,
450,62,6Vecwo7AHst9V2CE3kmwr0,0hEurMDQu99nJRq8pTxO14,3yHOaiXecTJVUdn7mApZ48,No Such Thing,John Mayer,Room For Squares,FALSE,1,1,spotify:track:6Vecwo7AHst9V2CE3kmwr0,131.918,audio_features,4,-4.919,1,0.0308,0.13,0.571,0.668,0.739,https://api.spotify.com/v1/tracks/6Vecwo7AHst9V2CE3kmwr0,https://api.spotify.com/v1/audio-analysis/6Vecwo7AHst9V2CE3kmwr0,231467,4,0.0383,0,,NA,68,8/16/2001,,,
453,74,47ZWr1Nb0PUgmKgyg5JkgO,0fauHpmSHwodVYIjTqOGHz,7mQySyLxOukXItkdPBs90U,River Flows In You - Original,Yiruma,First Love (Yiruma Piano Collection),FALSE,1,4,spotify:track:47ZWr1Nb0PUgmKgyg5JkgO,145.074,audio_features,9,-21.398,1,0.0507,0.085,0.0969,0.31,0.218,https://api.spotify.com/v1/tracks/47ZWr1Nb0PUgmKgyg5JkgO,https://api.spotify.com/v1/audio-analysis/47ZWr1Nb0PUgmKgyg5JkgO,185527,4,0.988,0.952,,NA,65,11/27/2001,,,
462,68,5z6xHjCZr7a7AIcy8sPBKy,6TZdvF1kFzwnQLgHQynzsO,5klPnHQ5dy6Qm2Ul7h1lp5,Smooth Criminal,Alien Ant Farm,Anthology,FALSE,1,12,spotify:track:5z6xHjCZr7a7AIcy8sPBKy,126.942,audio_features,9,-4.225,0,0.06,0.15,0.875,0.647,0.964,https://api.spotify.com/v1/tracks/5z6xHjCZr7a7AIcy8sPBKy,https://api.spotify.com/v1/audio-analysis/5z6xHjCZr7a7AIcy8sPBKy,209267,4,0.00434,0.0036,,NA,58,1/1/2001,,,
471,73,2QsZVnbWVSjKMXK6K3uRBL,23zg3TcAtWQy7J6upgbUnj,6k16WXh4rKyusIoN00rmpi,U Remind Me,Usher,8701,FALSE,1,2,spotify:track:2QsZVnbWVSjKMXK6K3uRBL,93.985,audio_features,6,-4.938,1,0.0782,0.254,0.726,0.657,0.629,https://api.spotify.com/v1/tracks/2QsZVnbWVSjKMXK6K3uRBL,https://api.spotify.com/v1/audio-analysis/2QsZVnbWVSjKMXK6K3uRBL,266893,4,0.194,0,,NA,66,1/1/2001,,,
480,68,7J41dYQolQJEtj3UmKLu5r,23zg3TcAtWQy7J6upgbUnj,6k16WXh4rKyusIoN00rmpi,U Got It Bad,Usher,8701,FALSE,1,5,spotify:track:7J41dYQolQJEtj3UmKLu5r,124.037,audio_features,1,-4.551,1,0.03,0.0733,0.649,0.816,0.5,https://api.spotify.com/v1/tracks/7J41dYQolQJEtj3UmKLu5r,https://api.spotify.com/v1/audio-analysis/7J41dYQolQJEtj3UmKLu5r,247840,4,0.0227,1.53E-06,,NA,66,1/1/2001,,,
489,71,2MZSXhq4XDJWu6coGoXX1V,6kBDZFXuLrZgHnvmPu9NsG,1maoQPAmw44bbkNOxKlwsx,Avril 14th,Aphex Twin,Drukqs,FALSE,1,9,spotify:track:2MZSXhq4XDJWu6coGoXX1V,157.811,audio_features,8,-30.016,1,0.0458,0.0969,0.37,0.558,0.0259,https://api.spotify.com/v1/tracks/2MZSXhq4XDJWu6coGoXX1V,https://api.spotify.com/v1/audio-analysis/2MZSXhq4XDJWu6coGoXX1V,125520,4,0.996,0.871,,NA,61,10/22/2001,,,
498,67,1ACZpHI5vZ5Ea4xGlkdGWM,4Icvbp9RDt5aY2TWDOVDsr,5WW91LUt9Oqkhzrg0Ao4K0,Crazy Rap (Colt 45 & 2 Zig Zags),Afroman,The Good Times,TRUE,1,2,spotify:track:1ACZpHI5vZ5Ea4xGlkdGWM,99.051,audio_features,9,-7.875,1,0.393,0.168,0.55,0.927,0.368,https://api.spotify.com/v1/tracks/1ACZpHI5vZ5Ea4xGlkdGWM,https://api.spotify.com/v1/audio-analysis/1ACZpHI5vZ5Ea4xGlkdGWM,328667,4,0.322,0,,NA,60,8/28/2001,,,
507,59,0rRboI6IRuGx56Dq3UdYY4,4Icvbp9RDt5aY2TWDOVDsr,5WW91LUt9Oqkhzrg0Ao4K0,Because I Got High,Afroman,The Good Times,TRUE,1,1,spotify:track:0rRboI6IRuGx56Dq3UdYY4,165.982,audio_features,7,-8.531,1,0.483,0.0791,0.844,0.8,0.339,https://api.spotify.com/v1/tracks/0rRboI6IRuGx56Dq3UdYY4,https://api.spotify.com/v1/audio-analysis/0rRboI6IRuGx56Dq3UdYY4,197760,4,0.166,0,,NA,60,8/28/2001,,,
519,67,4KacUpvbA3Mfo05gttTjhN,0qT79UgT5tY4yudH9VfsdT,2UCWsnmZEVg9HhnMeKTsim,Fat Lip,Sum 41,All Killer,TRUE,1,4,spotify:track:4KacUpvbA3Mfo05gttTjhN,98.075,audio_features,9,-5.176,1,0.0715,0.0769,0.573,0.574,0.911,https://api.spotify.com/v1/tracks/4KacUpvbA3Mfo05gttTjhN,https://api.spotify.com/v1/audio-analysis/4KacUpvbA3Mfo05gttTjhN,178267,4,0.000618,0,,,NA,61,1/1/2001,,
528,66,1HNE2PX70ztbEl6MLxrpNL,0qT79UgT5tY4yudH9VfsdT,2UCWsnmZEVg9HhnMeKTsim,In Too Deep,Sum 41,All Killer,FALSE,1,7,spotify:track:1HNE2PX70ztbEl6MLxrpNL,116.048,audio_features,9,-5.793,1,0.0586,0.0588,0.802,0.577,0.838,https://api.spotify.com/v1/tracks/1HNE2PX70ztbEl6MLxrpNL,https://api.spotify.com/v1/audio-analysis/1HNE2PX70ztbEl6MLxrpNL,207093,4,0.000178,1.07E-06,,,NA,61,1/1/2001,,
537,67,0lVYRIVjK77Z6uG2GgM8Kl,6APm8EjxOHSYM5B4i3vT3q,4BDftZAnppbkKAA4O4APzn,I Can Only Imagine,MercyMe,Almost There,FALSE,1,5,spotify:track:0lVYRIVjK77Z6uG2GgM8Kl,159.527,audio_features,4,-5.359,1,0.0496,0.0914,0.133,0.407,0.612,https://api.spotify.com/v1/tracks/0lVYRIVjK77Z6uG2GgM8Kl,https://api.spotify.com/v1/audio-analysis/0lVYRIVjK77Z6uG2GgM8Kl,248253,4,0.0909,0,,NA,56,2001,,,
546,73,3FCto7hnn1shUyZL42YgfO,6zFYqv1mOsgBRQbae3JJ9e,7r36rel1M4gyBavfcJP6Yz,Piano Man,Billy Joel,The Essential Billy Joel,FALSE,1,1,spotify:track:3FCto7hnn1shUyZL42YgfO,179.167,audio_features,0,-8.792,1,0.0277,0.317,0.431,0.334,0.472,https://api.spotify.com/v1/tracks/3FCto7hnn1shUyZL42YgfO,https://api.spotify.com/v1/audio-analysis/3FCto7hnn1shUyZL42YgfO,336093,3,0.6,3.77E-06,,NA,70,10/2/2001,,,
555,70,3CSpzkoL1XgDBZ1q9aDCUV,6zFYqv1mOsgBRQbae3JJ9e,7r36rel1M4gyBavfcJP6Yz,Uptown Girl,Billy Joel,The Essential Billy Joel,FALSE,2,3,spotify:track:3CSpzkoL1XgDBZ1q9aDCUV,129.003,audio_features,4,-2.962,1,0.0431,0.653,0.833,0.696,0.943,https://api.spotify.com/v1/tracks/3CSpzkoL1XgDBZ1q9aDCUV,https://api.spotify.com/v1/audio-analysis/3CSpzkoL1XgDBZ1q9aDCUV,194867,4,0.0736,0,,NA,70,10/2/2001,,,
573,64,7LbOQt7isddrw3Bs3Czl7E,6zFYqv1mOsgBRQbae3JJ9e,7r36rel1M4gyBavfcJP6Yz,It's Still Rock and Roll to Me,Billy Joel,The Essential Billy Joel,FALSE,1,14,spotify:track:7LbOQt7isddrw3Bs3Czl7E,141.429,audio_features,5,-7.589,1,0.166,0.0895,0.582,0.745,0.655,https://api.spotify.com/v1/tracks/7LbOQt7isddrw3Bs3Czl7E,https://api.spotify.com/v1/audio-analysis/7LbOQt7isddrw3Bs3Czl7E,177267,4,0.0958,1.99E-06,,NA,70,10/2/2001,,,
585,60,4gehZ6WYqLOXZpmMEq3Em9,6zFYqv1mOsgBRQbae3JJ9e,7r36rel1M4gyBavfcJP6Yz,Only the Good Die Young,Billy Joel,The Essential Billy Joel,FALSE,1,10,spotify:track:4gehZ6WYqLOXZpmMEq3Em9,152.092,audio_features,0,-6.488,1,0.132,0.0915,0.766,0.519,0.875,https://api.spotify.com/v1/tracks/4gehZ6WYqLOXZpmMEq3Em9,https://api.spotify.com/v1/audio-analysis/4gehZ6WYqLOXZpmMEq3Em9,233333,4,0.223,0,,NA,70,10/2/2001,,,
597,60,3YhcVZIWyakQSTUJD1YMt4,6zFYqv1mOsgBRQbae3JJ9e,7r36rel1M4gyBavfcJP6Yz,The Longest Time,Billy Joel,The Essential Billy Joel,FALSE,2,4,spotify:track:3YhcVZIWyakQSTUJD1YMt4,169.54,audio_features,3,-9.574,1,0.0286,0.11,0.627,0.507,0.327,https://api.spotify.com/v1/tracks/3YhcVZIWyakQSTUJD1YMt4,https://api.spotify.com/v1/audio-analysis/3YhcVZIWyakQSTUJD1YMt4,216640,4,0.183,0,,NA,70,10/2/2001,,,
600,74,0KQx6HOpJueiSkztcS0r7D,3DiDSECUqqY1AuBP8qtaIa,5qUlPoDmNxCSzqVx81RDLJ,Fallin',Alicia Keys,Songs In A Minor,FALSE,1,4,spotify:track:0KQx6HOpJueiSkztcS0r7D,95.982,audio_features,11,-7.519,0,0.037,0.233,0.482,0.653,0.609,https://api.spotify.com/v1/tracks/0KQx6HOpJueiSkztcS0r7D,https://api.spotify.com/v1/audio-analysis/0KQx6HOpJueiSkztcS0r7D,210200,3,0.263,0.00101,,NA,64,6/25/2001,,,
609,71,5oUV6yWdDM0R9Q2CizRhIt,4LG4Bs1Gadht7TCrMytQUO,34XlrJGfsDhvRDeJ8a6lie,New Slang,The Shins,Oh,FALSE,1,6,spotify:track:5oUV6yWdDM0R9Q2CizRhIt,130.015,audio_features,0,-11.547,1,0.0306,0.0905,0.649,0.669,0.389,https://api.spotify.com/v1/tracks/5oUV6yWdDM0R9Q2CizRhIt,https://api.spotify.com/v1/audio-analysis/5oUV6yWdDM0R9Q2CizRhIt,231173,4,0.605,0.16,,,NA,62,6/19/2001,,
618,60,1yMpbmFpPC4Y8qMjtalnXf,4LG4Bs1Gadht7TCrMytQUO,34XlrJGfsDhvRDeJ8a6lie,Caring Is Creepy,The Shins,Oh,FALSE,1,1,spotify:track:1yMpbmFpPC4Y8qMjtalnXf,94.614,audio_features,2,-8.65,1,0.0375,0.293,0.494,0.413,0.707,https://api.spotify.com/v1/tracks/1yMpbmFpPC4Y8qMjtalnXf,https://api.spotify.com/v1/audio-analysis/1yMpbmFpPC4Y8qMjtalnXf,200173,4,0.0232,2.84E-06,,,NA,62,6/19/2001,,
621,68,3SUusuA9jH1v6PVwtYMbdv,0epOFNiUfyON9EYx7Tpr6V,2k8KgmDp9oHrmu0MIj4XDE,Last Nite,The Strokes,Is This It,FALSE,1,7,spotify:track:3SUusuA9jH1v6PVwtYMbdv,104.055,audio_features,0,-5.71,1,0.0295,0.0975,0.797,0.624,0.899,https://api.spotify.com/v1/tracks/3SUusuA9jH1v6PVwtYMbdv,https://api.spotify.com/v1/audio-analysis/3SUusuA9jH1v6PVwtYMbdv,193373,4,0.0223,0.000155,alternative rock,75,65,10/8/2001,,,
648,69,7hm4HTk9encxT0LYC0J6oI,0epOFNiUfyON9EYx7Tpr6V,2k8KgmDp9oHrmu0MIj4XDE,Someday,The Strokes,Is This It,FALSE,1,5,spotify:track:7hm4HTk9encxT0LYC0J6oI,106.031,audio_features,9,-7.46,1,0.0299,0.367,0.678,0.538,0.52,https://api.spotify.com/v1/tracks/7hm4HTk9encxT0LYC0J6oI,https://api.spotify.com/v1/audio-analysis/7hm4HTk9encxT0LYC0J6oI,183440,4,0.00425,0,alternative rock,75,65,10/8/2001,,,
675,59,0OM9ri37LIbPc9hffwsyb1,0epOFNiUfyON9EYx7Tpr6V,2k8KgmDp9oHrmu0MIj4XDE,Hard To Explain,The Strokes,Is This It,FALSE,1,8,spotify:track:0OM9ri37LIbPc9hffwsyb1,82.525,audio_features,7,-6.286,1,0.0578,0.0888,0.667,0.408,0.665,https://api.spotify.com/v1/tracks/0OM9ri37LIbPc9hffwsyb1,https://api.spotify.com/v1/audio-analysis/0OM9ri37LIbPc9hffwsyb1,224333,4,0.000456,0.863,alternative rock,75,65,10/8/2001,,,
684,70,0Uyh92tLyb9JawG8lmWCzJ,7r8RF1tN2A4CiGEplkp1oP,5IZeegMeRHlyKE6LKrVuYt,Differences,Ginuwine,The Life,FALSE,1,4,spotify:track:0Uyh92tLyb9JawG8lmWCzJ,62.876,audio_features,3,-4.578,0,0.0558,0.311,0.423,0.562,0.594,https://api.spotify.com/v1/tracks/0Uyh92tLyb9JawG8lmWCzJ,https://api.spotify.com/v1/audio-analysis/0Uyh92tLyb9JawG8lmWCzJ,265533,4,0.318,0,dance pop,68,59,4/3/2001,,,
711,72,6zsk6uF3MxfIeHPlubKBvR,2wIVse2owClT7go1WT98tk,20t54K6C80QQH7vbcpfJcP,Get Ur Freak On,Missy Elliott,Miss E...So Addictive,TRUE,1,5,spotify:track:6zsk6uF3MxfIeHPlubKBvR,177.87,audio_features,0,-9.369,1,0.247,0.095,0.74,0.797,0.75,https://api.spotify.com/v1/tracks/6zsk6uF3MxfIeHPlubKBvR,https://api.spotify.com/v1/audio-analysis/6zsk6uF3MxfIeHPlubKBvR,211120,4,0.533,0.108,dance pop,73,62,5/14/2001,,,
738,72,2mKouqwAIdQnMP43zxR89r,3ScY9CQxNLQei8Umvpx5g6,6vMgb2mih3pPiWUxF8VEdI,What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe,Jealous Ones Still Envy (J.O.S.E),TRUE,1,9,spotify:track:2mKouqwAIdQnMP43zxR89r,93.955,audio_features,8,-5.074,1,0.0598,0.108,0.919,0.835,0.707,https://api.spotify.com/v1/tracks/2mKouqwAIdQnMP43zxR89r,https://api.spotify.com/v1/audio-analysis/2mKouqwAIdQnMP43zxR89r,267093,4,0.0219,2.19E-05,dirty south rap,70,61,12/4/2001,,,
765,66,5ceGigL7CZQ3Ih6W8SIbv8,3dXaa6jwM7B52GZpaJEIr5,4WAujFDGR5UdnGpK0tKy2v,Blurry,Puddle Of Mudd,Come Clean,FALSE,1,5,spotify:track:5ceGigL7CZQ3Ih6W8SIbv8,157.477,audio_features,3,-4.462,0,0.0563,0.142,0.484,0.431,0.94,https://api.spotify.com/v1/tracks/5ceGigL7CZQ3Ih6W8SIbv8,https://api.spotify.com/v1/audio-analysis/5ceGigL7CZQ3Ih6W8SIbv8,304000,4,0.00916,0,alternative metal,64,62,1/1/2001,,,
792,64,1uwTmwkjv7wFImfzegvdI6,3dXaa6jwM7B52GZpaJEIr5,4WAujFDGR5UdnGpK0tKy2v,She Hates Me,Puddle Of Mudd,Come Clean,TRUE,1,6,spotify:track:1uwTmwkjv7wFImfzegvdI6,109.789,audio_features,4,-5.393,1,0.0326,0.768,0.607,0.575,0.746,https://api.spotify.com/v1/tracks/1uwTmwkjv7wFImfzegvdI6,https://api.spotify.com/v1/audio-analysis/1uwTmwkjv7wFImfzegvdI6,216640,4,0.00875,0,alternative metal,64,62,1/1/2001,,,
819,62,4BL79Qie6r0TkXuNQLC8gQ,3dXaa6jwM7B52GZpaJEIr5,4WAujFDGR5UdnGpK0tKy2v,Control,Puddle Of Mudd,Come Clean,TRUE,1,1,spotify:track:4BL79Qie6r0TkXuNQLC8gQ,163.759,audio_features,11,-3.4,1,0.0985,0.296,0.635,0.433,0.914,https://api.spotify.com/v1/tracks/4BL79Qie6r0TkXuNQLC8gQ,https://api.spotify.com/v1/audio-analysis/4BL79Qie6r0TkXuNQLC8gQ,230093,4,0.00301,0,alternative metal,64,62,1/1/2001,,,
837,71,0UrWr7Jnu1heq1o99ZwUd0,6KO6G41BBLTDNYOLefWTMU,4eUmncMYQRg0Ot29KKqbuk,Youth Of The Nation,P.O.D.,Satellite (U.S. Version WEA Distribution),FALSE,1,4,spotify:track:0UrWr7Jnu1heq1o99ZwUd0,97.867,audio_features,8,-7.533,1,0.0621,0.39,0.517,0.563,0.86,https://api.spotify.com/v1/tracks/0UrWr7Jnu1heq1o99ZwUd0,https://api.spotify.com/v1/audio-analysis/0UrWr7Jnu1heq1o99ZwUd0,256240,4,0.00834,0.0106,alternative metal,64,64,9/11/2001,,,
