	popularity	song_id	artist_id	album_id	song_name	artist_name	album_name	explicit	disc_number	track_number	uri	tempo	type	key	loudness	mode	speechiness	liveness	valence	danceability	energy	track_href	analysis_url	duration_ms	time_signature	acousticness	instrumentalness	artist_genres	artist_popularity	album_popularity	album_release_date
0	78	4xkOaSrkexMciUUogZKVTS	7dGJo4pcD2V6oG8kP0tJRR	2cWBwpqMsDJC1ZUwz813lo	'Till I Collapse	Eminem	The Eminem Show (Explicit Version)	True	1	18	spotify:track:4xkOaSrkexMciUUogZKVTS	171.297	audio_features	1	-3.203	1	0.217	0.0798	0.102	0.572	0.853	https://api.spotify.com/v1/tracks/4xkOaSrkexMciUUogZKVTS	https://api.spotify.com/v1/audio-analysis/4xkOaSrkexMciUUogZKVTS	297893	4	0.0757	0.0	detroit hip hop	91.0	73	2002-05-26
27	73	7lQ8MOhq6IN2w8EYcFNSUk	7dGJo4pcD2V6oG8kP0tJRR	2cWBwpqMsDJC1ZUwz813lo	Without Me	Eminem	The Eminem Show (Explicit Version)	True	1	10	spotify:track:7lQ8MOhq6IN2w8EYcFNSUk	112.249	audio_features	7	-2.882	1	0.0858	0.308	0.655	0.929	0.65	https://api.spotify.com/v1/tracks/7lQ8MOhq6IN2w8EYcFNSUk	https://api.spotify.com/v1/audio-analysis/7lQ8MOhq6IN2w8EYcFNSUk	290227	4	0.00348	0.0	detroit hip hop	91.0	73	2002-05-26
54	66	4woTEX1wYOTGDqNXuavlRC	7dGJo4pcD2V6oG8kP0tJRR	2cWBwpqMsDJC1ZUwz813lo	Superman	Eminem	The Eminem Show (Explicit Version)	True	1	13	spotify:track:4woTEX1wYOTGDqNXuavlRC	129.998	audio_features	4	-3.542	0	0.0625	0.204	0.557	0.803	0.753	https://api.spotify.com/v1/tracks/4woTEX1wYOTGDqNXuavlRC	https://api.spotify.com/v1/audio-analysis/4woTEX1wYOTGDqNXuavlRC	350227	4	0.015	0.0	detroit hip hop	91.0	73	2002-05-26
81	65	3CpoeW0cZSDzIRv5z34F87	7dGJo4pcD2V6oG8kP0tJRR	2cWBwpqMsDJC1ZUwz813lo	Sing For The Moment	Eminem	The Eminem Show (Explicit Version)	True	1	12	spotify:track:3CpoeW0cZSDzIRv5z34F87	164.052	audio_features	5	-4.295	0	0.0983	0.0559	0.162	0.664	0.81	https://api.spotify.com/v1/tracks/3CpoeW0cZSDzIRv5z34F87	https://api.spotify.com/v1/audio-analysis/3CpoeW0cZSDzIRv5z34F87	339667	4	0.00196	1.62e-06	detroit hip hop	91.0	73	2002-05-26
135	64	7BMO7O7ImjV8HNTH74Tshv	7dGJo4pcD2V6oG8kP0tJRR	2cWBwpqMsDJC1ZUwz813lo	Cleanin' Out My Closet	Eminem	The Eminem Show (Explicit Version)	True	1	4	spotify:track:7BMO7O7ImjV8HNTH74Tshv	148.012	audio_features	9	-5.005	0	0.219	0.106	0.878	0.911	0.743	https://api.spotify.com/v1/tracks/7BMO7O7ImjV8HNTH74Tshv	https://api.spotify.com/v1/audio-analysis/7BMO7O7ImjV8HNTH74Tshv	297933	4	0.0835	0.0	detroit hip hop	91.0	73	2002-05-26
189	61	15qrWkkYCfmtu1uRpGf48L	7dGJo4pcD2V6oG8kP0tJRR	2cWBwpqMsDJC1ZUwz813lo	White America	Eminem	The Eminem Show (Explicit Version)	True	1	2	spotify:track:15qrWkkYCfmtu1uRpGf48L	75.018	audio_features	1	-5.571	1	0.196	0.169	0.165	0.649	0.613	https://api.spotify.com/v1/tracks/15qrWkkYCfmtu1uRpGf48L	https://api.spotify.com/v1/audio-analysis/15qrWkkYCfmtu1uRpGf48L	324569	4	0.0141	0.0	detroit hip hop	91.0	73	2002-05-26
225	84	75JFxkI2RXiU7L9VXzMkle	4gzpq5DPGxSnKTe4SA8HAU	0RHX9XECH8IVI3LNgWDpmQ	The Scientist	Coldplay	A Rush Of Blood To The Head	False	1	4	spotify:track:75JFxkI2RXiU7L9VXzMkle	146.448	audio_features	5	-7.224	1	0.0243	0.11	0.212	0.56	0.442	https://api.spotify.com/v1/tracks/75JFxkI2RXiU7L9VXzMkle	https://api.spotify.com/v1/audio-analysis/75JFxkI2RXiU7L9VXzMkle	309600	4	0.727	1.71e-05	permanent wave	87.0	76	2002-08-08
252	74	0BCPKOYdS2jbQ8iyB56Zns	4gzpq5DPGxSnKTe4SA8HAU	0RHX9XECH8IVI3LNgWDpmQ	Clocks	Coldplay	A Rush Of Blood To The Head	False	1	5	spotify:track:0BCPKOYdS2jbQ8iyB56Zns	130.969	audio_features	5	-7.215	0	0.0279	0.183	0.261	0.577	0.749	https://api.spotify.com/v1/tracks/0BCPKOYdS2jbQ8iyB56Zns	https://api.spotify.com/v1/audio-analysis/0BCPKOYdS2jbQ8iyB56Zns	307880	4	0.599	0.0112	permanent wave	87.0	76	2002-08-08
279	70	2nvC4i2aMo4CzRjRflysah	4gzpq5DPGxSnKTe4SA8HAU	0RHX9XECH8IVI3LNgWDpmQ	In My Place	Coldplay	A Rush Of Blood To The Head	False	1	2	spotify:track:2nvC4i2aMo4CzRjRflysah	144.642	audio_features	9	-5.453	1	0.0278	0.298	0.194	0.425	0.587	https://api.spotify.com/v1/tracks/2nvC4i2aMo4CzRjRflysah	https://api.spotify.com/v1/audio-analysis/2nvC4i2aMo4CzRjRflysah	226680	4	0.0565	5.16e-06	permanent wave	87.0	76	2002-08-08
288	76	1AEYT6VxrxXPMoQUxsY0E4	1UdQqCUR7RwB9YYJONwbdM	4jd0qgZ4gaHW6b0lgpZKWk	Headstrong	Trapt	Trapt	True	1	1	spotify:track:1AEYT6VxrxXPMoQUxsY0E4	184.981	audio_features	4	-5.819	0	0.117	0.189	0.534	0.492	0.896	https://api.spotify.com/v1/tracks/1AEYT6VxrxXPMoQUxsY0E4	https://api.spotify.com/v1/audio-analysis/1AEYT6VxrxXPMoQUxsY0E4	285570	4	0.000172	2.78e-06	alternative metal	64.0	65	2002-11-05
