	popularity	song_id	artist_id	album_id	song_name	artist_name	album_name	explicit	disc_number	track_number	uri	tempo	type	key	loudness	mode	speechiness	liveness	valence	danceability	energy	track_href	analysis_url	duration_ms	time_signature	acousticness	instrumentalness	artist_genres	artist_popularity	album_popularity	album_release_date
0	75	7i6r9KotUPQg3ozKKgEPIN	4F84IBURUo98rz4r61KF70	48Atx1uS9J4KL5iQt3weoS	Seven Nation Army	The White Stripes	Elephant	False	1	1	spotify:track:7i6r9KotUPQg3ozKKgEPIN	123.881	audio_features	0	-7.828	1	0.0792	0.255	0.324	0.737	0.463	https://api.spotify.com/v1/tracks/7i6r9KotUPQg3ozKKgEPIN	https://api.spotify.com/v1/audio-analysis/7i6r9KotUPQg3ozKKgEPIN	231733	4	0.00817	0.447	alternative rock	73	65	2003
27	78	5dNfHmqgr128gMY2tc5CeJ	2mxe0TnaNL039ysAj51xPQ	35Ea7OWXZPZB1vAPiaEGOM	Ignition - Remix	R. Kelly	Chocolate Factory	False	1	10	spotify:track:5dNfHmqgr128gMY2tc5CeJ	133.024	audio_features	1	-7.165	1	0.0423	0.0914	0.855	0.795	0.523	https://api.spotify.com/v1/tracks/5dNfHmqgr128gMY2tc5CeJ	https://api.spotify.com/v1/audio-analysis/5dNfHmqgr128gMY2tc5CeJ	186067	4	0.061	0.0	dance pop	76	67	2003
54	79	5IVuqXILoxVWvWEPm82Jxr	6vWDO969PvNqNYHIOW5v0m	6oxVabMIqCMJRYN1GqR3Vf	Crazy In Love	Beyoncé	Dangerously In Love	False	1	1	spotify:track:5IVuqXILoxVWvWEPm82Jxr	99.165	audio_features	2	-6.596	0	0.226	0.0715	0.681	0.646	0.77	https://api.spotify.com/v1/tracks/5IVuqXILoxVWvWEPm82Jxr	https://api.spotify.com/v1/audio-analysis/5IVuqXILoxVWvWEPm82Jxr	236133	4	0.00249	0.0	dance pop	87	71	2003-06-24
81	67	6XsT5UGfpaFeHQf5LRIy4W	6vWDO969PvNqNYHIOW5v0m	6oxVabMIqCMJRYN1GqR3Vf	Me, Myself and I	Beyoncé	Dangerously In Love	False	1	6	spotify:track:6XsT5UGfpaFeHQf5LRIy4W	83.61	audio_features	1	-9.092	1	0.0803	0.137	0.536	0.75	0.458	https://api.spotify.com/v1/tracks/6XsT5UGfpaFeHQf5LRIy4W	https://api.spotify.com/v1/audio-analysis/6XsT5UGfpaFeHQf5LRIy4W	301133	4	0.226	3.25e-05	dance pop	87	71	2003-06-24
135	67	4WY3HyGXsWqjFRCVD6gnTe	6vWDO969PvNqNYHIOW5v0m	6oxVabMIqCMJRYN1GqR3Vf	Baby Boy	Beyoncé	Dangerously In Love	False	1	3	spotify:track:4WY3HyGXsWqjFRCVD6gnTe	91.025	audio_features	1	-9.17	1	0.22	0.221	0.791	0.655	0.488	https://api.spotify.com/v1/tracks/4WY3HyGXsWqjFRCVD6gnTe	https://api.spotify.com/v1/audio-analysis/4WY3HyGXsWqjFRCVD6gnTe	244827	4	0.0825	1.16e-06	dance pop	87	71	2003-06-24
153	61	0KFuXEdOp5QfIfxHR6TJSm	6vWDO969PvNqNYHIOW5v0m	6oxVabMIqCMJRYN1GqR3Vf	Dangerously In Love	Beyoncé	Dangerously In Love	False	1	12	spotify:track:0KFuXEdOp5QfIfxHR6TJSm	99.982	audio_features	6	-8.026	1	0.0808	0.19	0.459	0.609	0.407	https://api.spotify.com/v1/tracks/0KFuXEdOp5QfIfxHR6TJSm	https://api.spotify.com/v1/audio-analysis/0KFuXEdOp5QfIfxHR6TJSm	293133	4	0.345	0.0	dance pop	87	71	2003-06-24
189	63	0YGQ3hZcRLC5YX7o0hdmHg	6vWDO969PvNqNYHIOW5v0m	6oxVabMIqCMJRYN1GqR3Vf	Naughty Girl	Beyoncé	Dangerously In Love	False	1	2	spotify:track:0YGQ3hZcRLC5YX7o0hdmHg	200.053	audio_features	6	-8.686	0	0.161	0.0913	0.659	0.588	0.461	https://api.spotify.com/v1/tracks/0YGQ3hZcRLC5YX7o0hdmHg	https://api.spotify.com/v1/audio-analysis/0YGQ3hZcRLC5YX7o0hdmHg	208573	4	0.237	1.54e-05	dance pop	87	71	2003-06-24
198	76	2PpruBYCo4H7WOBJ7Q2EwM	1G9G7WwrXka3Z1r7aIDjI7	1UsmQ3bpJTyK6ygoOOjG1r	Hey Ya! - Radio Mix / Club Mix	OutKast	Speakerboxxx/The Love Below	False	2	9	spotify:track:2PpruBYCo4H7WOBJ7Q2EwM	79.526	audio_features	4	-2.261	0	0.0665	0.175	0.965	0.728	0.974	https://api.spotify.com/v1/tracks/2PpruBYCo4H7WOBJ7Q2EwM	https://api.spotify.com/v1/audio-analysis/2PpruBYCo4H7WOBJ7Q2EwM	235213	4	0.103	0.000532	dirty south rap	75	69	2003
225	72	6bUNEbXT7HovLW6BgPCBsb	1G9G7WwrXka3Z1r7aIDjI7	1UsmQ3bpJTyK6ygoOOjG1r	Roses	OutKast	Speakerboxxx/The Love Below	True	2	10	spotify:track:6bUNEbXT7HovLW6BgPCBsb	108.97	audio_features	0	-5.645	1	0.0545	0.107	0.509	0.751	0.708	https://api.spotify.com/v1/tracks/6bUNEbXT7HovLW6BgPCBsb	https://api.spotify.com/v1/audio-analysis/6bUNEbXT7HovLW6BgPCBsb	369573	4	0.0481	1.83e-05	dirty south rap	75	69	2003
252	65	5z7mYFfhw6N6f23VwrokJD	1G9G7WwrXka3Z1r7aIDjI7	1UsmQ3bpJTyK6ygoOOjG1r	The Way You Move - Club Mix	OutKast	Speakerboxxx/The Love Below	True	1	5	spotify:track:5z7mYFfhw6N6f23VwrokJD	125.999	audio_features	5	-4.932	0	0.0464	0.0638	0.635	0.871	0.597	https://api.spotify.com/v1/tracks/5z7mYFfhw6N6f23VwrokJD	https://api.spotify.com/v1/audio-analysis/5z7mYFfhw6N6f23VwrokJD	234000	4	0.126	0.000115	dirty south rap	75	69	2003
279	71	3AszgPDZd9q0DpDFt4HFBy	1G9G7WwrXka3Z1r7aIDjI7	7etFl9qeqjD0luC40JAg8l	Hey Ya! - Radio Mix / Club Mix	OutKast	The Way You Move / Hey Ya!	False	1	3	spotify:track:3AszgPDZd9q0DpDFt4HFBy	79.504	audio_features	0	-2.206	1	0.0648	0.205	0.963	0.715	0.97	https://api.spotify.com/v1/tracks/3AszgPDZd9q0DpDFt4HFBy	https://api.spotify.com/v1/audio-analysis/3AszgPDZd9q0DpDFt4HFBy	239240	4	0.0644	0.000156	dirty south rap	75	59	2003
306	80	3XVBdLihbNbxUwZosxcGuJ	3DiDSECUqqY1AuBP8qtaIa	6TqRKHLjDu5QZuC8u5Woij	If I Ain't Got You	Alicia Keys	The Diary Of Alicia Keys	False	1	6	spotify:track:3XVBdLihbNbxUwZosxcGuJ	118.393	audio_features	7	-9.129	1	0.106	0.104	0.166	0.609	0.445	https://api.spotify.com/v1/tracks/3XVBdLihbNbxUwZosxcGuJ	https://api.spotify.com/v1/audio-analysis/3XVBdLihbNbxUwZosxcGuJ	228707	3	0.603	6.77e-06	hip pop	78	69	2003-12-01
333	73	4RY96Asd9IefaL3X4LOLZ8	3q7HBObVc0L8jNeTe5Gofh	4ycNE7y1rp5215g1kkqk1P	In Da Club	50 Cent	Get Rich Or Die Tryin' (Explicit Version)	True	1	5	spotify:track:4RY96Asd9IefaL3X4LOLZ8	90.096	audio_features	6	-2.813	0	0.373	0.0753	0.808	0.865	0.73	https://api.spotify.com/v1/tracks/4RY96Asd9IefaL3X4LOLZ8	https://api.spotify.com/v1/audio-analysis/4RY96Asd9IefaL3X4LOLZ8	193467	4	0.283	0.0	east coast hip hop	81	70	2003-01-01
360	68	41bIQPBE1lFN0mmw6Lmssz	3q7HBObVc0L8jNeTe5Gofh	4ycNE7y1rp5215g1kkqk1P	21 Questions	50 Cent	Get Rich Or Die Tryin' (Explicit Version)	True	1	14	spotify:track:41bIQPBE1lFN0mmw6Lmssz	79.823	audio_features	6	-4.083	0	0.36	0.0436	0.919	0.547	0.807	https://api.spotify.com/v1/tracks/41bIQPBE1lFN0mmw6Lmssz	https://api.spotify.com/v1/audio-analysis/41bIQPBE1lFN0mmw6Lmssz	224427	3	0.388	9.11e-05	east coast hip hop	81	70	2003-01-01
387	68	2D1hlMwWWXpkc3CZJ5U351	3q7HBObVc0L8jNeTe5Gofh	4ycNE7y1rp5215g1kkqk1P	P.I.M.P.	50 Cent	Get Rich Or Die Tryin' (Explicit Version)	True	1	11	spotify:track:2D1hlMwWWXpkc3CZJ5U351	84.607	audio_features	10	-2.894	0	0.351	0.0397	0.85	0.673	0.785	https://api.spotify.com/v1/tracks/2D1hlMwWWXpkc3CZJ5U351	https://api.spotify.com/v1/audio-analysis/2D1hlMwWWXpkc3CZJ5U351	249467	4	0.0485	3.65e-06	east coast hip hop	81	70	2003-01-01
414	66	3ORfa5ilEthp2U0TRcv7kv	3q7HBObVc0L8jNeTe5Gofh	4ycNE7y1rp5215g1kkqk1P	Patiently Waiting	50 Cent	Get Rich Or Die Tryin' (Explicit Version)	True	1	3	spotify:track:3ORfa5ilEthp2U0TRcv7kv	79.02	audio_features	10	-2.426	0	0.291	0.359	0.537	0.699	0.688	https://api.spotify.com/v1/tracks/3ORfa5ilEthp2U0TRcv7kv	https://api.spotify.com/v1/audio-analysis/3ORfa5ilEthp2U0TRcv7kv	288880	4	0.276	0.0	east coast hip hop	81	70	2003-01-01
441	64	2I9foKseoFQh07p6sD2voE	3q7HBObVc0L8jNeTe5Gofh	4ycNE7y1rp5215g1kkqk1P	Many Men (Wish Death)	50 Cent	Get Rich Or Die Tryin' (Explicit Version)	True	1	4	spotify:track:2I9foKseoFQh07p6sD2voE	108.095	audio_features	11	-2.92	0	0.43	0.121	0.402	0.574	0.841	https://api.spotify.com/v1/tracks/2I9foKseoFQh07p6sD2voE	https://api.spotify.com/v1/audio-analysis/2I9foKseoFQh07p6sD2voE	256227	5	0.0153	0.000797	east coast hip hop	81	70	2003-01-01
468	60	7JeKXMQKm6GoLGTkNy2jZ0	3q7HBObVc0L8jNeTe5Gofh	4ycNE7y1rp5215g1kkqk1P	If I Can't	50 Cent	Get Rich Or Die Tryin' (Explicit Version)	True	1	8	spotify:track:7JeKXMQKm6GoLGTkNy2jZ0	93.961	audio_features	11	-2.453	0	0.31	0.0244	0.887	0.877	0.64	https://api.spotify.com/v1/tracks/7JeKXMQKm6GoLGTkNy2jZ0	https://api.spotify.com/v1/audio-analysis/7JeKXMQKm6GoLGTkNy2jZ0	196640	4	0.253	0.0	east coast hip hop	81	70	2003-01-01
504	81	2nLtzopw4rPReszdYBJU6h	6XyY86QOPPrYVGvF9ch6wz	4Gfnly5CzMJQqkUFfoHaP3	Numb	Linkin Park	Meteora	False	1	13	spotify:track:2nLtzopw4rPReszdYBJU6h	110.018	audio_features	9	-4.153	1	0.0381	0.639	0.243	0.496	0.863	https://api.spotify.com/v1/tracks/2nLtzopw4rPReszdYBJU6h	https://api.spotify.com/v1/audio-analysis/2nLtzopw4rPReszdYBJU6h	185587	4	0.0046	0.0	alternative metal	85	73	2003-03-24
531	68	4Yf5bqU3NK4kNOypcrLYwU	6XyY86QOPPrYVGvF9ch6wz	4Gfnly5CzMJQqkUFfoHaP3	Faint	Linkin Park	Meteora	False	1	7	spotify:track:4Yf5bqU3NK4kNOypcrLYwU	135.095	audio_features	4	-3.554	1	0.131	0.0731	0.594	0.554	0.978	https://api.spotify.com/v1/tracks/4Yf5bqU3NK4kNOypcrLYwU	https://api.spotify.com/v1/audio-analysis/4Yf5bqU3NK4kNOypcrLYwU	162600	4	0.111	0.0	alternative metal	85	73	2003-03-24
567	65	3agtg0x11wPvLIWkYR39nZ	6XyY86QOPPrYVGvF9ch6wz	4Gfnly5CzMJQqkUFfoHaP3	Somewhere I Belong	Linkin Park	Meteora	False	1	3	spotify:track:3agtg0x11wPvLIWkYR39nZ	162.065	audio_features	1	-3.754	1	0.0645	0.261	0.442	0.451	0.951	https://api.spotify.com/v1/tracks/3agtg0x11wPvLIWkYR39nZ	https://api.spotify.com/v1/audio-analysis/3agtg0x11wPvLIWkYR39nZ	213933	4	0.00038	2.39e-06	alternative metal	85	73	2003-03-24
