	popularity	song_id	artist_id	album_id	song_name	artist_name	album_name	explicit	disc_number	track_number	uri	tempo	type	key	loudness	mode	speechiness	liveness	valence	danceability	energy	track_href	analysis_url	duration_ms	time_signature	acousticness	instrumentalness	artist_genres	artist_popularity	album_popularity	album_release_date
0	77	6C7RJEIUDqKkJRZVWdkfkH	5K4W6rqBFWDnAN6FQUkS6x	3SZr5Pco2oqKFORCP3WNj9	Stronger	Kanye West	Graduation	True	1	3	spotify:track:6C7RJEIUDqKkJRZVWdkfkH	103.98	audio_features	10	-7.731	0	0.155	0.318	0.483	0.625	0.726	https://api.spotify.com/v1/tracks/6C7RJEIUDqKkJRZVWdkfkH	https://api.spotify.com/v1/audio-analysis/6C7RJEIUDqKkJRZVWdkfkH	311867	4	0.00728	0.0	pop	90.0	74	2007-01-01
27	69	4ImL3v98u2BLkwnyQDjfRm	5K4W6rqBFWDnAN6FQUkS6x	3SZr5Pco2oqKFORCP3WNj9	Can't Tell Me Nothing	Kanye West	Graduation	True	1	6	spotify:track:4ImL3v98u2BLkwnyQDjfRm	79.968	audio_features	5	-6.091	0	0.0536	0.823	0.101	0.594	0.614	https://api.spotify.com/v1/tracks/4ImL3v98u2BLkwnyQDjfRm	https://api.spotify.com/v1/audio-analysis/4ImL3v98u2BLkwnyQDjfRm	271600	4	0.0121	0.0	pop	90.0	74	2007-01-01
54	68	1fLdeDTrJWNkwOeFyAVLvF	5K4W6rqBFWDnAN6FQUkS6x	3SZr5Pco2oqKFORCP3WNj9	Good Life	Kanye West	Graduation	True	1	5	spotify:track:1fLdeDTrJWNkwOeFyAVLvF	84.267	audio_features	1	-6.871	1	0.324	0.467	0.454	0.435	0.802	https://api.spotify.com/v1/tracks/1fLdeDTrJWNkwOeFyAVLvF	https://api.spotify.com/v1/audio-analysis/1fLdeDTrJWNkwOeFyAVLvF	207000	4	0.00376	0.0	pop	90.0	74	2007-01-01
81	68	0ua0Go4NN4Td7l0Zre6Ce3	5K4W6rqBFWDnAN6FQUkS6x	3SZr5Pco2oqKFORCP3WNj9	Flashing Lights	Kanye West	Graduation	True	1	9	spotify:track:0ua0Go4NN4Td7l0Zre6Ce3	90.482	audio_features	6	-7.505	0	0.0486	0.482	0.509	0.634	0.649	https://api.spotify.com/v1/tracks/0ua0Go4NN4Td7l0Zre6Ce3	https://api.spotify.com/v1/audio-analysis/0ua0Go4NN4Td7l0Zre6Ce3	237507	4	0.0315	0.0	pop	90.0	74	2007-01-01
108	66	2iaCM7WvOknQI1230hA9eK	5K4W6rqBFWDnAN6FQUkS6x	3SZr5Pco2oqKFORCP3WNj9	Homecoming	Kanye West	Graduation	True	1	12	spotify:track:2iaCM7WvOknQI1230hA9eK	86.993	audio_features	8	-6.965	1	0.186	0.126	0.905	0.679	0.754	https://api.spotify.com/v1/tracks/2iaCM7WvOknQI1230hA9eK	https://api.spotify.com/v1/audio-analysis/2iaCM7WvOknQI1230hA9eK	203493	4	0.323	0.0	pop	90.0	74	2007-01-01
162	65	27eO3EGKIUU7yug1eOxUZu	5K4W6rqBFWDnAN6FQUkS6x	3SZr5Pco2oqKFORCP3WNj9	Good Morning	Kanye West	Graduation	True	1	1	spotify:track:27eO3EGKIUU7yug1eOxUZu	169.769	audio_features	0	-5.902	1	0.13	0.17	0.575	0.577	0.646	https://api.spotify.com/v1/tracks/27eO3EGKIUU7yug1eOxUZu	https://api.spotify.com/v1/audio-analysis/27eO3EGKIUU7yug1eOxUZu	195093	4	0.0913	4.18e-05	pop	90.0	74	2007-01-01
216	65	6bXOlIfGIWh7Tyn4oyvLQW	5K4W6rqBFWDnAN6FQUkS6x	3SZr5Pco2oqKFORCP3WNj9	I Wonder	Kanye West	Graduation	True	1	4	spotify:track:6bXOlIfGIWh7Tyn4oyvLQW	191.259	audio_features	0	-8.658	1	0.111	0.135	0.116	0.54	0.476	https://api.spotify.com/v1/tracks/6bXOlIfGIWh7Tyn4oyvLQW	https://api.spotify.com/v1/audio-analysis/6bXOlIfGIWh7Tyn4oyvLQW	243440	4	0.13	0.000252	pop	90.0	74	2007-01-01
270	64	7hNx9Dynz2fRO41L9AEVA8	5K4W6rqBFWDnAN6FQUkS6x	3SZr5Pco2oqKFORCP3WNj9	Champion	Kanye West	Graduation	True	1	2	spotify:track:7hNx9Dynz2fRO41L9AEVA8	98.331	audio_features	3	-8.19	0	0.296	0.67	0.765	0.481	0.505	https://api.spotify.com/v1/tracks/7hNx9Dynz2fRO41L9AEVA8	https://api.spotify.com/v1/audio-analysis/7hNx9Dynz2fRO41L9AEVA8	167600	4	0.00315	0.0	pop	90.0	74	2007-01-01
306	62	1XQhZctQWzkznclbmbE7FQ	5K4W6rqBFWDnAN6FQUkS6x	3SZr5Pco2oqKFORCP3WNj9	Everything I Am	Kanye West	Graduation	True	1	10	spotify:track:1XQhZctQWzkznclbmbE7FQ	80.108	audio_features	1	-6.811	1	0.308	0.138	0.733	0.587	0.631	https://api.spotify.com/v1/tracks/1XQhZctQWzkznclbmbE7FQ	https://api.spotify.com/v1/audio-analysis/1XQhZctQWzkznclbmbE7FQ	227893	4	0.461	1.54e-06	pop	90.0	74	2007-01-01
342	77	2aIdVb8v9KTpEZnftkz2mD	3aQeKQSyrW4qWr35idm0cy	44Z1ZEmOyois0QoAgfUxrD	Buy U a Drank (Shawty Snappin')	T-Pain	Epiphany	False	1	12	spotify:track:2aIdVb8v9KTpEZnftkz2mD	80.001	audio_features	1	-8.137	1	0.262	0.0737	0.594	0.451	0.55	https://api.spotify.com/v1/tracks/2aIdVb8v9KTpEZnftkz2mD	https://api.spotify.com/v1/audio-analysis/2aIdVb8v9KTpEZnftkz2mD	227960	4	0.0108	0.0	dance pop	79.0	68	2007-06-05
369	69	5kxddRG1RZaZROadk7iC4D	3aQeKQSyrW4qWr35idm0cy	44Z1ZEmOyois0QoAgfUxrD	Bartender	T-Pain	Epiphany	True	1	7	spotify:track:5kxddRG1RZaZROadk7iC4D	104.987	audio_features	8	-8.539	1	0.133	0.214	0.405	0.675	0.394	https://api.spotify.com/v1/tracks/5kxddRG1RZaZROadk7iC4D	https://api.spotify.com/v1/audio-analysis/5kxddRG1RZaZROadk7iC4D	238800	4	0.0611	0.0	dance pop	79.0	68	2007-06-05
396	77	0JEqGkvUiMTQmFY6sgL9kg	3DiDSECUqqY1AuBP8qtaIa	0neqylYFL6s6Ikdf3UFmUo	No One	Alicia Keys	As I Am	False	1	4	spotify:track:0JEqGkvUiMTQmFY6sgL9kg	89.969	audio_features	1	-5.419	0	0.0292	0.111	0.158	0.649	0.552	https://api.spotify.com/v1/tracks/0JEqGkvUiMTQmFY6sgL9kg	https://api.spotify.com/v1/audio-analysis/0JEqGkvUiMTQmFY6sgL9kg	253813	4	0.03	6.47e-06	hip pop	78.0	67	2007-09-10
423	78	7wZUrN8oemZfsEd1CGkbXE	5lKZWd6HiSCLfnDGrq9RAm	0VaAFegRAAn4OCg7p4QjN5	Bleeding Love	Leona Lewis	Spirit	False	1	1	spotify:track:7wZUrN8oemZfsEd1CGkbXE	104.036	audio_features	5	-5.886	1	0.0357	0.146	0.225	0.638	0.656	https://api.spotify.com/v1/tracks/7wZUrN8oemZfsEd1CGkbXE	https://api.spotify.com/v1/audio-analysis/7wZUrN8oemZfsEd1CGkbXE	262467	4	0.188	0.0	dance pop	72.0	70	2007
450	73	2iXBZ32Fz5VDCLeE0JIdX5	5lKZWd6HiSCLfnDGrq9RAm	0VaAFegRAAn4OCg7p4QjN5	Better in Time	Leona Lewis	Spirit	False	1	2	spotify:track:2iXBZ32Fz5VDCLeE0JIdX5	163.953	audio_features	6	-4.251	1	0.0506	0.13	0.549	0.584	0.7	https://api.spotify.com/v1/tracks/2iXBZ32Fz5VDCLeE0JIdX5	https://api.spotify.com/v1/audio-analysis/2iXBZ32Fz5VDCLeE0JIdX5	234173	4	0.512	2.43e-05	dance pop	72.0	70	2007
486	71	6SpLc7EXZIPpy0sVko0aoU	74XFHRwlV6OrjEM0A2NCMF	71rziY9eLo1tA2dBMxrwhc	Misery Business	Paramore	RIOT!	False	1	4	spotify:track:6SpLc7EXZIPpy0sVko0aoU	172.977	audio_features	1	-3.677	1	0.0735	0.113	0.731	0.517	0.906	https://api.spotify.com/v1/tracks/6SpLc7EXZIPpy0sVko0aoU	https://api.spotify.com/v1/audio-analysis/6SpLc7EXZIPpy0sVko0aoU	211520	4	0.00272	9.26e-06	candy pop	78.0	65	2007-06-11
513	63	1JdKrFyoU05abww0Zv0ayQ	74XFHRwlV6OrjEM0A2NCMF	71rziY9eLo1tA2dBMxrwhc	That's What You Get	Paramore	RIOT!	False	1	2	spotify:track:1JdKrFyoU05abww0Zv0ayQ	131.094	audio_features	8	-3.607	1	0.0429	0.141	0.632	0.528	0.831	https://api.spotify.com/v1/tracks/1JdKrFyoU05abww0Zv0ayQ	https://api.spotify.com/v1/audio-analysis/1JdKrFyoU05abww0Zv0ayQ	220480	3	9.43e-05	0.0	candy pop	78.0	65	2007-06-11
549	62	3VA4sjTMSTTF02hFGmlpJh	74XFHRwlV6OrjEM0A2NCMF	71rziY9eLo1tA2dBMxrwhc	crushcrushcrush	Paramore	RIOT!	False	1	8	spotify:track:3VA4sjTMSTTF02hFGmlpJh	136.96	audio_features	1	-4.086	0	0.0468	0.0976	0.648	0.631	0.793	https://api.spotify.com/v1/tracks/3VA4sjTMSTTF02hFGmlpJh	https://api.spotify.com/v1/audio-analysis/3VA4sjTMSTTF02hFGmlpJh	189373	4	0.000218	5.65e-05	candy pop	78.0	65	2007-06-11
585	75	3FtYbEfBqAlGO46NUDQSAt	0SwO7SWeDHJijQ3XNS7xEE	6mm1Skz3JE6AXneya9Nyiv	Electric Feel	MGMT	Oracular Spectacular	False	1	4	spotify:track:3FtYbEfBqAlGO46NUDQSAt	103.038	audio_features	1	-3.714	1	0.035	0.348	0.559	0.763	0.807	https://api.spotify.com/v1/tracks/3FtYbEfBqAlGO46NUDQSAt	https://api.spotify.com/v1/audio-analysis/3FtYbEfBqAlGO46NUDQSAt	229640	3	0.0714	0.28	alternative dance	75.0	72	2007-12-14
612	76	1jJci4qxiYcOHhQR247rEU	0SwO7SWeDHJijQ3XNS7xEE	6mm1Skz3JE6AXneya9Nyiv	Kids	MGMT	Oracular Spectacular	False	1	5	spotify:track:1jJci4qxiYcOHhQR247rEU	122.961	audio_features	9	-3.871	1	0.0719	0.361	0.172	0.451	0.931	https://api.spotify.com/v1/tracks/1jJci4qxiYcOHhQR247rEU	https://api.spotify.com/v1/audio-analysis/1jJci4qxiYcOHhQR247rEU	302840	4	0.00076	0.0049	alternative dance	75.0	72	2007-12-14
