	popularity	song_id	artist_id	album_id	song_name	artist_name	album_name	explicit	disc_number	track_number	uri	tempo	type	key	loudness	mode	speechiness	liveness	valence	danceability	energy	track_href	analysis_url	duration_ms	time_signature	acousticness	instrumentalness	artist_genres	artist_popularity	album_popularity	album_release_date
0	80	4JehYebiI9JE8sR8MisGVb	6vWDO969PvNqNYHIOW5v0m	39P7VD7qlg3Z0ltq60eHp7	Halo	Beyoncé	I AM...SASHA FIERCE	False	1	2	spotify:track:4JehYebiI9JE8sR8MisGVb	79.983	audio_features	11	-5.908	0	0.0628	0.0563	0.472	0.508	0.72	https://api.spotify.com/v1/tracks/4JehYebiI9JE8sR8MisGVb	https://api.spotify.com/v1/audio-analysis/4JehYebiI9JE8sR8MisGVb	261640	4	0.272	0.0	dance pop	87.0	71	2008-11-14
27	70	5R9a4t5t5O0IsznsrKPVro	6vWDO969PvNqNYHIOW5v0m	39P7VD7qlg3Z0ltq60eHp7	Single Ladies (Put a Ring on It)	Beyoncé	I AM...SASHA FIERCE	False	2	1	spotify:track:5R9a4t5t5O0IsznsrKPVro	193.437	audio_features	1	-5.293	1	0.296	0.188	0.272	0.426	0.584	https://api.spotify.com/v1/tracks/5R9a4t5t5O0IsznsrKPVro	https://api.spotify.com/v1/audio-analysis/5R9a4t5t5O0IsznsrKPVro	193213	4	0.0383	0.0	dance pop	87.0	71	2008-11-14
63	70	26NX1wPt1TRCH536yocd6i	6vWDO969PvNqNYHIOW5v0m	23Y5wdyP5byMFktZf8AcWU	If I Were a Boy	Beyoncé	I AM...SASHA FIERCE	False	1	1	spotify:track:26NX1wPt1TRCH536yocd6i	90.007	audio_features	6	-6.126	1	0.0313	0.354	0.427	0.632	0.518	https://api.spotify.com/v1/tracks/26NX1wPt1TRCH536yocd6i	https://api.spotify.com/v1/audio-analysis/26NX1wPt1TRCH536yocd6i	249147	4	0.107	0.0	dance pop	87.0	69	2008-11-14
117	84	1EzrEOXmMH3G43AXT1y7pA	4phGZZrJZRo4ElhRtViYdl	04G0YylSjvDQZrjOfE5jA5	I'm Yours	Jason Mraz	We Sing. We Dance. We Steal Things.	False	1	2	spotify:track:1EzrEOXmMH3G43AXT1y7pA	150.953	audio_features	11	-8.322	1	0.0468	0.105	0.718	0.686	0.457	https://api.spotify.com/v1/tracks/1EzrEOXmMH3G43AXT1y7pA	https://api.spotify.com/v1/audio-analysis/1EzrEOXmMH3G43AXT1y7pA	242187	4	0.595	0.0	acoustic pop	78.0	75	2008-05-12
144	76	0IktbUcnAGrvD03AWnz3Q8	4phGZZrJZRo4ElhRtViYdl	04G0YylSjvDQZrjOfE5jA5	Lucky	Jason Mraz	We Sing. We Dance. We Steal Things.	False	1	3	spotify:track:0IktbUcnAGrvD03AWnz3Q8	130.032	audio_features	0	-8.699	1	0.0354	0.135	0.721	0.623	0.417	https://api.spotify.com/v1/tracks/0IktbUcnAGrvD03AWnz3Q8	https://api.spotify.com/v1/audio-analysis/0IktbUcnAGrvD03AWnz3Q8	191360	4	0.296	0.0	acoustic pop	78.0	75	2008-05-12
171	74	3fyMH1t6UPeR5croea9PrR	3TVXtAsR1Inumwj472S9r4	61NNWRxokNUQx0aYysBL76	Best I Ever Had	Drake	So Far Gone	True	1	3	spotify:track:3fyMH1t6UPeR5croea9PrR	161.776	audio_features	1	-4.874	1	0.376	0.277	0.581	0.427	0.861	https://api.spotify.com/v1/tracks/3fyMH1t6UPeR5croea9PrR	https://api.spotify.com/v1/audio-analysis/3fyMH1t6UPeR5croea9PrR	257760	4	0.219	0.0	canadian hip hop	99.0	66	2008-09-15
198	62	60geMByGdlcGGMR5R5ZjHE	3TVXtAsR1Inumwj472S9r4	61NNWRxokNUQx0aYysBL76	I'm Goin In	Drake	So Far Gone	True	1	5	spotify:track:60geMByGdlcGGMR5R5ZjHE	169.975	audio_features	1	-8.366	1	0.374	0.0988	0.534	0.658	0.756	https://api.spotify.com/v1/tracks/60geMByGdlcGGMR5R5ZjHE	https://api.spotify.com/v1/audio-analysis/60geMByGdlcGGMR5R5ZjHE	225267	4	0.0393	0.0	canadian hip hop	99.0	66	2008-09-15
207	74	4dGJf1SER1T6ooX46vwzRB	6yJCxee7QumYr820xdIsjo	0Im5nUhAuNDSYVjfPh7RyS	Chicken Fried	Zac Brown Band	The Foundation	False	1	6	spotify:track:4dGJf1SER1T6ooX46vwzRB	169.864	audio_features	6	-4.25	1	0.0417	0.114	0.807	0.566	0.713	https://api.spotify.com/v1/tracks/4dGJf1SER1T6ooX46vwzRB	https://api.spotify.com/v1/audio-analysis/4dGJf1SER1T6ooX46vwzRB	238147	4	0.645	0.0	contemporary country	74.0	68	2008-11-17
234	69	5kjyiH6but1t2UDXq15aeS	6yJCxee7QumYr820xdIsjo	0Im5nUhAuNDSYVjfPh7RyS	Toes	Zac Brown Band	The Foundation	False	1	1	spotify:track:5kjyiH6but1t2UDXq15aeS	129.979	audio_features	11	-5.398	1	0.0378	0.0897	0.821	0.8	0.759	https://api.spotify.com/v1/tracks/5kjyiH6but1t2UDXq15aeS	https://api.spotify.com/v1/audio-analysis/5kjyiH6but1t2UDXq15aeS	262773	4	0.655	0.0	contemporary country	74.0	68	2008-11-17
261	64	4o8STNAL91xc7EvuvqSKk1	6yJCxee7QumYr820xdIsjo	0Im5nUhAuNDSYVjfPh7RyS	Whatever It Is	Zac Brown Band	The Foundation	False	1	2	spotify:track:4o8STNAL91xc7EvuvqSKk1	83.971	audio_features	1	-6.632	1	0.0284	0.212	0.72	0.686	0.576	https://api.spotify.com/v1/tracks/4o8STNAL91xc7EvuvqSKk1	https://api.spotify.com/v1/audio-analysis/4o8STNAL91xc7EvuvqSKk1	208213	4	0.443	1.7e-05	contemporary country	74.0	68	2008-11-17
297	73	49FYlytm3dAAraYgpoJZux	5pKCCKE2ajJHZ9KAiaK11H	3JSWZWeTHF4HDGt5Eozdy7	Umbrella	Rihanna	Good Girl Gone Bad: Reloaded	False	1	1	spotify:track:49FYlytm3dAAraYgpoJZux	174.063	audio_features	1	-4.616	1	0.152	0.0631	0.551	0.579	0.821	https://api.spotify.com/v1/tracks/49FYlytm3dAAraYgpoJZux	https://api.spotify.com/v1/audio-analysis/49FYlytm3dAAraYgpoJZux	275987	4	0.0117	0.0	dance pop	90.0	70	2008-06-02
