	popularity	song_id	artist_id	album_id	song_name	artist_name	album_name	explicit	disc_number	track_number	uri	tempo	type	key	loudness	mode	speechiness	liveness	valence	danceability	energy	track_href	analysis_url	duration_ms	time_signature	acousticness	instrumentalness	artist_genres	artist_popularity	album_popularity	album_release_date
0	84	62vpWI1CHwFy7tMIcSStl8	6l3HvQ5sa6mXTsMTB19rO5	7viNUmZZ8ztn2UB4XB3jIL	No Role Modelz	J. Cole	2014 Forest Hills Drive	True	1	9	spotify:track:62vpWI1CHwFy7tMIcSStl8	100.0	audio_features	10	-8.465	0	0.332	0.0565	0.458	0.696	0.521	https://api.spotify.com/v1/tracks/62vpWI1CHwFy7tMIcSStl8	https://api.spotify.com/v1/audio-analysis/62vpWI1CHwFy7tMIcSStl8	292987	4	0.302	0.0	pop	93	81	2014-12-09
64	80	6Ius4TC0L3cN74HT7ENE6e	6l3HvQ5sa6mXTsMTB19rO5	7viNUmZZ8ztn2UB4XB3jIL	Wet Dreamz	J. Cole	2014 Forest Hills Drive	True	1	3	spotify:track:6Ius4TC0L3cN74HT7ENE6e	175.483	audio_features	6	-8.205	0	0.364	0.128	0.584	0.504	0.705	https://api.spotify.com/v1/tracks/6Ius4TC0L3cN74HT7ENE6e	https://api.spotify.com/v1/audio-analysis/6Ius4TC0L3cN74HT7ENE6e	239320	4	0.0752	0.0	pop	93	81	2014-12-09
128	79	16qYlQ6koFxYVbiJbGHblz	6l3HvQ5sa6mXTsMTB19rO5	7viNUmZZ8ztn2UB4XB3jIL	G.O.M.D.	J. Cole	2014 Forest Hills Drive	True	1	8	spotify:track:16qYlQ6koFxYVbiJbGHblz	128.065	audio_features	4	-10.821	0	0.267	0.283	0.304	0.889	0.393	https://api.spotify.com/v1/tracks/16qYlQ6koFxYVbiJbGHblz	https://api.spotify.com/v1/audio-analysis/16qYlQ6koFxYVbiJbGHblz	301133	4	0.331	8.67e-06	pop	93	81	2014-12-09
192	74	7lL3MvFWFFSD25pBz72Agj	6l3HvQ5sa6mXTsMTB19rO5	7viNUmZZ8ztn2UB4XB3jIL	A Tale of 2 Citiez	J. Cole	2014 Forest Hills Drive	True	1	5	spotify:track:7lL3MvFWFFSD25pBz72Agj	189.861	audio_features	6	-7.844	1	0.531	0.251	0.362	0.559	0.556	https://api.spotify.com/v1/tracks/7lL3MvFWFFSD25pBz72Agj	https://api.spotify.com/v1/audio-analysis/7lL3MvFWFFSD25pBz72Agj	269787	4	0.553	0.0	pop	93	81	2014-12-09
256	73	1HNs07uZxZniPNmniw2GTa	6l3HvQ5sa6mXTsMTB19rO5	7viNUmZZ8ztn2UB4XB3jIL	Apparently	J. Cole	2014 Forest Hills Drive	True	1	11	spotify:track:1HNs07uZxZniPNmniw2GTa	133.982	audio_features	5	-9.236	1	0.091	0.116	0.534	0.801	0.543	https://api.spotify.com/v1/tracks/1HNs07uZxZniPNmniw2GTa	https://api.spotify.com/v1/audio-analysis/1HNs07uZxZniPNmniw2GTa	293040	4	0.564	0.0	pop	93	81	2014-12-09
384	73	4gkl7QbQvBd3TM9PhlWFkI	6l3HvQ5sa6mXTsMTB19rO5	7viNUmZZ8ztn2UB4XB3jIL	Love Yourz	J. Cole	2014 Forest Hills Drive	True	1	12	spotify:track:4gkl7QbQvBd3TM9PhlWFkI	75.555	audio_features	8	-8.812	1	0.441	0.119	0.399	0.502	0.623	https://api.spotify.com/v1/tracks/4gkl7QbQvBd3TM9PhlWFkI	https://api.spotify.com/v1/audio-analysis/4gkl7QbQvBd3TM9PhlWFkI	211680	1	0.609	0.0	pop	93	81	2014-12-09
512	70	4Tjh34RS4ACZ6f6srlDBg8	6l3HvQ5sa6mXTsMTB19rO5	7viNUmZZ8ztn2UB4XB3jIL	Fire Squad	J. Cole	2014 Forest Hills Drive	True	1	6	spotify:track:4Tjh34RS4ACZ6f6srlDBg8	175.432	audio_features	11	-7.21	1	0.415	0.621	0.595	0.516	0.738	https://api.spotify.com/v1/tracks/4Tjh34RS4ACZ6f6srlDBg8	https://api.spotify.com/v1/audio-analysis/4Tjh34RS4ACZ6f6srlDBg8	288200	4	0.279	0.0	pop	93	81	2014-12-09
656	79	3JvrhDOgAt6p7K8mDyZwRd	10exVja0key0uqUkk6LJRT	5S9b8euumqMhQbMk0zzQdH	Riptide	Vance Joy	Dream Your Life Away (Special Edition)	False	1	4	spotify:track:3JvrhDOgAt6p7K8mDyZwRd	101.654	audio_features	1	-6.694	1	0.0379	0.151	0.51	0.484	0.731	https://api.spotify.com/v1/tracks/3JvrhDOgAt6p7K8mDyZwRd	https://api.spotify.com/v1/audio-analysis/3JvrhDOgAt6p7K8mDyZwRd	204280	4	0.431	0.0	indie folk	79	74	2014-09-09
720	73	429EttO8gs0bDo2SQfUNSm	10exVja0key0uqUkk6LJRT	5S9b8euumqMhQbMk0zzQdH	Georgia	Vance Joy	Dream Your Life Away (Special Edition)	False	1	8	spotify:track:429EttO8gs0bDo2SQfUNSm	143.554	audio_features	11	-7.372	1	0.0308	0.0943	0.401	0.388	0.66	https://api.spotify.com/v1/tracks/429EttO8gs0bDo2SQfUNSm	https://api.spotify.com/v1/audio-analysis/429EttO8gs0bDo2SQfUNSm	230507	4	0.312	0.000307	indie folk	79	74	2014-09-09
848	72	29jtZGdgpE2lWm2mkIt6HS	10exVja0key0uqUkk6LJRT	5S9b8euumqMhQbMk0zzQdH	Mess Is Mine	Vance Joy	Dream Your Life Away (Special Edition)	False	1	2	spotify:track:29jtZGdgpE2lWm2mkIt6HS	108.043	audio_features	7	-8.256	1	0.0349	0.0995	0.272	0.595	0.723	https://api.spotify.com/v1/tracks/29jtZGdgpE2lWm2mkIt6HS	https://api.spotify.com/v1/audio-analysis/29jtZGdgpE2lWm2mkIt6HS	223640	1	0.047	0.0286	indie folk	79	74	2014-09-09
