	popularity	song_id	artist_id	album_id	song_name	artist_name	album_name	explicit	disc_number	track_number	uri	tempo	type	key	loudness	mode	speechiness	liveness	valence	danceability	energy	track_href	analysis_url	duration_ms	time_signature	acousticness	instrumentalness	artist_genres	artist_popularity	album_popularity	album_release_date
0	79	7oK9VyNzrYvRFo7nQEYkWN	0C0XlULifJtAgn6ZNCW2eu	4undIeGmofnAYKhnDclN1w	Mr. Brightside	The Killers	Hot Fuss	False	1	2	spotify:track:7oK9VyNzrYvRFo7nQEYkWN	148.112	audio_features	1	-3.66	1	0.0917	0.0926	0.234	0.33	0.936	https://api.spotify.com/v1/tracks/7oK9VyNzrYvRFo7nQEYkWN	https://api.spotify.com/v1/audio-analysis/7oK9VyNzrYvRFo7nQEYkWN	222587	4	0.00108	0.0	alternative rock	81.0	72	2004-01-01
27	71	7HGTkn2aX7MNdKs7nV2xBt	0C0XlULifJtAgn6ZNCW2eu	4undIeGmofnAYKhnDclN1w	Somebody Told Me	The Killers	Hot Fuss	False	1	4	spotify:track:7HGTkn2aX7MNdKs7nV2xBt	138.005	audio_features	10	-3.176	0	0.0824	0.104	0.767	0.5	0.975	https://api.spotify.com/v1/tracks/7HGTkn2aX7MNdKs7nV2xBt	https://api.spotify.com/v1/audio-analysis/7HGTkn2aX7MNdKs7nV2xBt	197160	4	0.000123	0.000379	alternative rock	81.0	72	2004-01-01
54	68	0kYUrLVQOfx21xuXu7OGrT	0C0XlULifJtAgn6ZNCW2eu	4undIeGmofnAYKhnDclN1w	All These Things That I've Done	The Killers	Hot Fuss	False	1	5	spotify:track:0kYUrLVQOfx21xuXu7OGrT	118.293	audio_features	6	-6.22	1	0.0448	0.129	0.217	0.558	0.74	https://api.spotify.com/v1/tracks/0kYUrLVQOfx21xuXu7OGrT	https://api.spotify.com/v1/audio-analysis/0kYUrLVQOfx21xuXu7OGrT	301573	4	0.00192	8.97e-06	alternative rock	81.0	72	2004-01-01
81	62	4kAgnAL4WKx7YqnlL2fvMh	0C0XlULifJtAgn6ZNCW2eu	4undIeGmofnAYKhnDclN1w	Smile Like You Mean It	The Killers	Hot Fuss	False	1	3	spotify:track:4kAgnAL4WKx7YqnlL2fvMh	125.1	audio_features	3	-2.622	0	0.133	0.226	0.535	0.378	0.979	https://api.spotify.com/v1/tracks/4kAgnAL4WKx7YqnlL2fvMh	https://api.spotify.com/v1/audio-analysis/4kAgnAL4WKx7YqnlL2fvMh	234107	4	0.000565	0.0159	alternative rock	81.0	72	2004-01-01
90	78	5rb9QrpfcKFHM1EUbSIurX	23zg3TcAtWQy7J6upgbUnj	1RM6MGv6bcl6NrAG8PGoZk	Yeah!	Usher	Confessions (Special Edition)	False	1	2	spotify:track:5rb9QrpfcKFHM1EUbSIurX	105.018	audio_features	2	-4.699	1	0.112	0.0388	0.583	0.894	0.791	https://api.spotify.com/v1/tracks/5rb9QrpfcKFHM1EUbSIurX	https://api.spotify.com/v1/audio-analysis/5rb9QrpfcKFHM1EUbSIurX	250373	4	0.0183	0.0	dance pop	80.0	74	2004-03-19
117	76	68vgtRHr7iZHpzGpon6Jlo	23zg3TcAtWQy7J6upgbUnj	1RM6MGv6bcl6NrAG8PGoZk	My Boo	Usher	Confessions (Special Edition)	False	1	18	spotify:track:68vgtRHr7iZHpzGpon6Jlo	86.412	audio_features	5	-8.238	1	0.118	0.0465	0.676	0.662	0.507	https://api.spotify.com/v1/tracks/68vgtRHr7iZHpzGpon6Jlo	https://api.spotify.com/v1/audio-analysis/68vgtRHr7iZHpzGpon6Jlo	223440	4	0.257	0.0	dance pop	80.0	74	2004-03-19
144	68	7wBThXx7BGZHJJ3aN3OPvv	23zg3TcAtWQy7J6upgbUnj	1RM6MGv6bcl6NrAG8PGoZk	Confessions Part II - Confessions Special Edition Version	Usher	Confessions (Special Edition)	False	1	5	spotify:track:7wBThXx7BGZHJJ3aN3OPvv	138.007	audio_features	1	-7.674	1	0.138	0.0694	0.702	0.845	0.467	https://api.spotify.com/v1/tracks/7wBThXx7BGZHJJ3aN3OPvv	https://api.spotify.com/v1/audio-analysis/7wBThXx7BGZHJJ3aN3OPvv	211200	4	0.0586	0.0	dance pop	80.0	74	2004-03-19
198	65	7z3N2W7Xz1t2G2sAO8wFVH	23zg3TcAtWQy7J6upgbUnj	1RM6MGv6bcl6NrAG8PGoZk	Burn - Confession Special Edition Version	Usher	Confessions (Special Edition)	False	1	6	spotify:track:7z3N2W7Xz1t2G2sAO8wFVH	119.928	audio_features	1	-7.161	1	0.108	0.12	0.685	0.796	0.477	https://api.spotify.com/v1/tracks/7z3N2W7Xz1t2G2sAO8wFVH	https://api.spotify.com/v1/audio-analysis/7z3N2W7Xz1t2G2sAO8wFVH	231933	4	0.314	0.0	dance pop	80.0	74	2004-03-19
234	77	3ibKnFDaa3GhpPGlOUj7ff	20s0P9QLxGqKuCsGwFsp7w	7EXstuWka51pNFzEAidEol	Let Me Love You	Mario	Let Me Love You	False	1	1	spotify:track:3ibKnFDaa3GhpPGlOUj7ff	94.514	audio_features	7	-8.97	0	0.0922	0.118	0.556	0.656	0.578	https://api.spotify.com/v1/tracks/3ibKnFDaa3GhpPGlOUj7ff	https://api.spotify.com/v1/audio-analysis/3ibKnFDaa3GhpPGlOUj7ff	256733	4	0.235	0.0	dance pop	69.0	66	2004-09-21
261	68	5WphWTUIfRe7x8NZss79cY	20s0P9QLxGqKuCsGwFsp7w	4qqrq2LYJYvKOV5Xrcajvp	Let Me Love You	Mario	Turning Point	False	1	2	spotify:track:5WphWTUIfRe7x8NZss79cY	94.364	audio_features	7	-8.352	0	0.0916	0.0979	0.607	0.622	0.593	https://api.spotify.com/v1/tracks/5WphWTUIfRe7x8NZss79cY	https://api.spotify.com/v1/audio-analysis/5WphWTUIfRe7x8NZss79cY	249093	4	0.163	0.0	dance pop	69.0	58	2004-12-06
288	76	7uKcScNXuO3MWw6LowBjW1	2NdeV5rLm47xAvogXrYhJX	71gUhKYZIWmmjqAHlY4Br3	One, Two Step	Ciara	Goodies	False	1	2	spotify:track:7uKcScNXuO3MWw6LowBjW1	113.046	audio_features	5	-10.96	0	0.161	0.0379	0.842	0.944	0.511	https://api.spotify.com/v1/tracks/7uKcScNXuO3MWw6LowBjW1	https://api.spotify.com/v1/audio-analysis/7uKcScNXuO3MWw6LowBjW1	203787	4	0.042	0.00107	dance pop	71.0	67	2004-09-24
315	66	3dFwpxh2yH7C7p9BGEKLVB	2NdeV5rLm47xAvogXrYhJX	71gUhKYZIWmmjqAHlY4Br3	Goodies	Ciara	Goodies	False	1	1	spotify:track:3dFwpxh2yH7C7p9BGEKLVB	102.017	audio_features	5	-6.306	0	0.0491	0.298	0.872	0.826	0.647	https://api.spotify.com/v1/tracks/3dFwpxh2yH7C7p9BGEKLVB	https://api.spotify.com/v1/audio-analysis/3dFwpxh2yH7C7p9BGEKLVB	223000	4	0.0277	1.52e-06	dance pop	71.0	67	2004-09-24
351	73	2lwwrWVKdf3LR9lbbhnr6R	1yAwtBaoHLEDWAnWR87hBT	0TGTGuc2vXv6ZECoAf52N0	Float On	Modest Mouse	Good News For People Who Love Bad News	False	1	3	spotify:track:2lwwrWVKdf3LR9lbbhnr6R	100.975	audio_features	6	-4.807	1	0.0293	0.0888	0.553	0.649	0.888	https://api.spotify.com/v1/tracks/2lwwrWVKdf3LR9lbbhnr6R	https://api.spotify.com/v1/audio-analysis/2lwwrWVKdf3LR9lbbhnr6R	208467	4	0.013	2.23e-06	alternative rock	68.0	65	2004-04-05
378	61	5op53ANI4exiWqFHKuwWxd	1yAwtBaoHLEDWAnWR87hBT	0TGTGuc2vXv6ZECoAf52N0	The World At Large	Modest Mouse	Good News For People Who Love Bad News	False	1	2	spotify:track:5op53ANI4exiWqFHKuwWxd	76.973	audio_features	6	-9.076	1	0.0254	0.101	0.249	0.523	0.477	https://api.spotify.com/v1/tracks/5op53ANI4exiWqFHKuwWxd	https://api.spotify.com/v1/audio-analysis/5op53ANI4exiWqFHKuwWxd	272507	4	0.0961	0.000106	alternative rock	68.0	65	2004-04-05
414	74	3xrn9i8zhNZsTtcoWgQEAd	3BmGtnKgCSGYIUhmivXKWX	5gDAEao3VxFdbm8vS0koQq	Since U Been Gone	Kelly Clarkson	Breakaway	False	1	2	spotify:track:3xrn9i8zhNZsTtcoWgQEAd	131.0	audio_features	0	-5.406	1	0.0334	0.114	0.404	0.662	0.741	https://api.spotify.com/v1/tracks/3xrn9i8zhNZsTtcoWgQEAd	https://api.spotify.com/v1/audio-analysis/3xrn9i8zhNZsTtcoWgQEAd	188960	4	0.00165	0.0303	dance pop	76.0	70	2004-01-17
441	75	3f3omU8n47Mqyab5nCaGyT	3BmGtnKgCSGYIUhmivXKWX	5gDAEao3VxFdbm8vS0koQq	Because of You	Kelly Clarkson	Breakaway	False	1	4	spotify:track:3f3omU8n47Mqyab5nCaGyT	140.039	audio_features	5	-5.362	0	0.0314	0.123	0.136	0.583	0.584	https://api.spotify.com/v1/tracks/3f3omU8n47Mqyab5nCaGyT	https://api.spotify.com/v1/audio-analysis/3f3omU8n47Mqyab5nCaGyT	219493	4	0.254	0.0	dance pop	76.0	70	2004-01-17
468	68	61Qhe2mHSLhUE04QeK4lkD	3BmGtnKgCSGYIUhmivXKWX	5gDAEao3VxFdbm8vS0koQq	Breakaway	Kelly Clarkson	Breakaway	False	1	1	spotify:track:61Qhe2mHSLhUE04QeK4lkD	159.958	audio_features	9	-4.179	0	0.0295	0.0931	0.394	0.446	0.701	https://api.spotify.com/v1/tracks/61Qhe2mHSLhUE04QeK4lkD	https://api.spotify.com/v1/audio-analysis/61Qhe2mHSLhUE04QeK4lkD	237000	3	0.0298	8.89e-06	dance pop	76.0	70	2004-01-17
504	70	5oQcOu1omDykbIPSdSQQNJ	5ND0mGcL9SKSjWIjPd0xIb	43jBR9MNJk5AUuB56M0pRF	1985	Bowling For Soup	A Hangover You Don't Deserve	False	1	3	spotify:track:5oQcOu1omDykbIPSdSQQNJ	119.974	audio_features	4	-4.404	1	0.0598	0.337	0.903	0.606	0.887	https://api.spotify.com/v1/tracks/5oQcOu1omDykbIPSdSQQNJ	https://api.spotify.com/v1/audio-analysis/5oQcOu1omDykbIPSdSQQNJ	193000	4	0.000242	0.0	comic	65.0	61	2004
531	71	6RcQOut9fWL6FSqeIr5M1r	4yiQZ8tQPux8cPriYMWUFP	1HduTydfaUY3idi2YgT3mb	Hollaback Girl	Gwen Stefani	Love Angel Music Baby	True	1	3	spotify:track:6RcQOut9fWL6FSqeIr5M1r	110.02	audio_features	10	-2.072	0	0.0887	0.0289	0.915	0.92	0.918	https://api.spotify.com/v1/tracks/6RcQOut9fWL6FSqeIr5M1r	https://api.spotify.com/v1/audio-analysis/6RcQOut9fWL6FSqeIr5M1r	199907	4	0.38	2.71e-06	dance pop	73.0	63	2004-01-01
558	61	39qcvV4f0uqDMHxIkSb7tE	4yiQZ8tQPux8cPriYMWUFP	1HduTydfaUY3idi2YgT3mb	Rich Girl	Gwen Stefani	Love Angel Music Baby	False	1	2	spotify:track:39qcvV4f0uqDMHxIkSb7tE	98.022	audio_features	7	-2.718	0	0.0406	0.198	0.774	0.863	0.745	https://api.spotify.com/v1/tracks/39qcvV4f0uqDMHxIkSb7tE	https://api.spotify.com/v1/audio-analysis/39qcvV4f0uqDMHxIkSb7tE	236213	4	0.0255	1.78e-05	dance pop	73.0	63	2004-01-01
567	72	1lHtE5JDCas1EwXhQIMOIj	2MqhkhX4npxDZ62ObR5ELO	7EtK7XiObsZGF6oBKLrvKH	The Reason	Hoobastank	The Reason	False	1	8	spotify:track:1lHtE5JDCas1EwXhQIMOIj	82.904	audio_features	4	-4.683	1	0.0294	0.152	0.0695	0.447	0.668	https://api.spotify.com/v1/tracks/1lHtE5JDCas1EwXhQIMOIj	https://api.spotify.com/v1/audio-analysis/1lHtE5JDCas1EwXhQIMOIj	232800	4	0.0127	0.0	alternative metal	67.0	61	2004-04-27
594	70	2NBQmPrOEEjA8VbeWOQGxO	7hJcb9fa4alzcOq3EaNPoG	797fkvAtk0iZvP1HHPCWbp	Drop It Like It's Hot	Snoop Dogg	R&G (Rhythm & Gangsta): The Masterpiece	True	1	3	spotify:track:2NBQmPrOEEjA8VbeWOQGxO	91.989	audio_features	1	-4.149	1	0.215	0.103	0.633	0.881	0.622	https://api.spotify.com/v1/tracks/2NBQmPrOEEjA8VbeWOQGxO	https://api.spotify.com/v1/audio-analysis/2NBQmPrOEEjA8VbeWOQGxO	266067	4	0.187	0.0	g funk	83.0	59	2004-01-01
621	77	6nTiIhLmQ3FWhvrGafw2zj	7oPftvlwr6VrsViSDV7fJY	5dN7F9DV0Qg1XRdIgW8rke	American Idiot	Green Day	American Idiot	True	1	1	spotify:track:6nTiIhLmQ3FWhvrGafw2zj	186.113	audio_features	1	-2.042	1	0.0639	0.368	0.769	0.38	0.988	https://api.spotify.com/v1/tracks/6nTiIhLmQ3FWhvrGafw2zj	https://api.spotify.com/v1/audio-analysis/6nTiIhLmQ3FWhvrGafw2zj	176346	4	2.64e-05	7.86e-05	modern rock	81.0	73	2004-09-21
648	78	3ZffCQKLFLUvYM59XKLbVm	7oPftvlwr6VrsViSDV7fJY	5dN7F9DV0Qg1XRdIgW8rke	Wake Me Up When September Ends	Green Day	American Idiot	False	1	7	spotify:track:3ZffCQKLFLUvYM59XKLbVm	104.98	audio_features	7	-5.146	1	0.0314	0.0972	0.146	0.546	0.814	https://api.spotify.com/v1/tracks/3ZffCQKLFLUvYM59XKLbVm	https://api.spotify.com/v1/audio-analysis/3ZffCQKLFLUvYM59XKLbVm	285653	4	0.023	0.0	modern rock	81.0	73	2004-09-21
675	73	0MsrWnxQZxPAcov7c74sSo	7oPftvlwr6VrsViSDV7fJY	5dN7F9DV0Qg1XRdIgW8rke	Holiday/Boulevard Of Broken Dreams	Green Day	American Idiot	True	1	3	spotify:track:0MsrWnxQZxPAcov7c74sSo	167.086	audio_features	8	-3.451	1	0.0362	0.301	0.45	0.29	0.827	https://api.spotify.com/v1/tracks/0MsrWnxQZxPAcov7c74sSo	https://api.spotify.com/v1/audio-analysis/0MsrWnxQZxPAcov7c74sSo	493400	4	0.000659	2.55e-06	modern rock	81.0	73	2004-09-21
702	75	1D1nixOVWOxvNfWi0UD7VX	7o95ZoZt5ZYn31e9z1Hc0a	1meis09isQJFDA65afUTt8	Unwritten	Natasha Bedingfield	Unwritten	False	1	4	spotify:track:1D1nixOVWOxvNfWi0UD7VX	100.013	audio_features	5	-6.333	1	0.0399	0.0822	0.63	0.706	0.801	https://api.spotify.com/v1/tracks/1D1nixOVWOxvNfWi0UD7VX	https://api.spotify.com/v1/audio-analysis/1D1nixOVWOxvNfWi0UD7VX	259333	4	0.00577	0.0	dance pop	68.0	66	2004-08-30
