	popularity	song_id	artist_id	album_id	song_name	artist_name	album_name	explicit	disc_number	track_number	uri	tempo	type	key	loudness	mode	speechiness	liveness	valence	danceability	energy	track_href	analysis_url	duration_ms	time_signature	acousticness	instrumentalness	artist_genres	artist_popularity	album_popularity	album_release_date
0	75	4G8gkOterJn0Ywt6uhqbhp	53XhwfbYqKCa1cC15pYq2q	6htgf3qv7vGcsdxLCDxKp8	Radioactive	Imagine Dragons	Night Visions	False	1	1	spotify:track:4G8gkOterJn0Ywt6uhqbhp	136.268	audio_features	9	-3.614	1	0.0638	0.76	0.176	0.478	0.799	https://api.spotify.com/v1/tracks/4G8gkOterJn0Ywt6uhqbhp	https://api.spotify.com/v1/audio-analysis/4G8gkOterJn0Ywt6uhqbhp	186813	4	0.126	0.000106	modern rock	89.0	71	2012-01-01
27	74	3LlAyCYU26dvFZBDUIMb7a	53XhwfbYqKCa1cC15pYq2q	6htgf3qv7vGcsdxLCDxKp8	Demons	Imagine Dragons	Night Visions	False	1	4	spotify:track:3LlAyCYU26dvFZBDUIMb7a	90.058	audio_features	3	-2.831	1	0.0367	0.378	0.381	0.499	0.73	https://api.spotify.com/v1/tracks/3LlAyCYU26dvFZBDUIMb7a	https://api.spotify.com/v1/audio-analysis/3LlAyCYU26dvFZBDUIMb7a	175200	4	0.23	0.00018	modern rock	89.0	71	2012-01-01
54	67	6BtmXhTJMM9sBTHeYYASGz	53XhwfbYqKCa1cC15pYq2q	6htgf3qv7vGcsdxLCDxKp8	It's Time	Imagine Dragons	Night Visions	False	1	3	spotify:track:6BtmXhTJMM9sBTHeYYASGz	104.997	audio_features	2	-4.614	1	0.0362	0.109	0.9	0.656	0.879	https://api.spotify.com/v1/tracks/6BtmXhTJMM9sBTHeYYASGz	https://api.spotify.com/v1/audio-analysis/6BtmXhTJMM9sBTHeYYASGz	237987	4	0.0178	0.0	modern rock	89.0	71	2012-01-01
90	67	6KuHjfXHkfnIjdmcIvt9r0	53XhwfbYqKCa1cC15pYq2q	1rzDtYMpZDhRgKNigB467r	On Top Of The World	Imagine Dragons	Night Visions (Deluxe)	False	1	5	spotify:track:6KuHjfXHkfnIjdmcIvt9r0	99.959	audio_features	0	-5.577	1	0.185	0.0971	0.776	0.64	0.924	https://api.spotify.com/v1/tracks/6KuHjfXHkfnIjdmcIvt9r0	https://api.spotify.com/v1/audio-analysis/6KuHjfXHkfnIjdmcIvt9r0	189840	4	0.0894	3.92e-06	modern rock	89.0	65	2012
114	74	7DfFc7a6Rwfi3YQMRbDMau	2h93pZq0e7k5yf4dywlkpM	392p3shh2jkxUxY2VHvlH8	Thinkin Bout You	Frank Ocean	channel ORANGE	False	1	2	spotify:track:7DfFc7a6Rwfi3YQMRbDMau	129.842	audio_features	0	-11.094	1	0.0537	0.0927	0.178	0.716	0.35	https://api.spotify.com/v1/tracks/7DfFc7a6Rwfi3YQMRbDMau	https://api.spotify.com/v1/audio-analysis/7DfFc7a6Rwfi3YQMRbDMau	200747	4	0.41	0.00134	hip hop	83.0	72	2012-01-01
141	68	0725YWm6Z0TpZ6wrNk64Eb	2h93pZq0e7k5yf4dywlkpM	392p3shh2jkxUxY2VHvlH8	Super Rich Kids	Frank Ocean	channel ORANGE	True	1	7	spotify:track:0725YWm6Z0TpZ6wrNk64Eb	60.014	audio_features	3	-8.184	0	0.0904	0.207	0.607	0.592	0.423	https://api.spotify.com/v1/tracks/0725YWm6Z0TpZ6wrNk64Eb	https://api.spotify.com/v1/audio-analysis/0725YWm6Z0TpZ6wrNk64Eb	304760	4	0.269	0.0	hip hop	83.0	72	2012-01-01
195	67	3GZD6HmiNUhxXYf8Gch723	2h93pZq0e7k5yf4dywlkpM	392p3shh2jkxUxY2VHvlH8	Lost	Frank Ocean	channel ORANGE	True	1	11	spotify:track:3GZD6HmiNUhxXYf8Gch723	123.045	audio_features	10	-4.957	0	0.236	0.19	0.492	0.907	0.596	https://api.spotify.com/v1/tracks/3GZD6HmiNUhxXYf8Gch723	https://api.spotify.com/v1/audio-analysis/3GZD6HmiNUhxXYf8Gch723	234093	4	0.0284	0.000193	hip hop	83.0	72	2012-01-01
231	65	4YZbVct8l9MnAVIROnLQdx	2h93pZq0e7k5yf4dywlkpM	392p3shh2jkxUxY2VHvlH8	Forrest Gump	Frank Ocean	channel ORANGE	False	1	16	spotify:track:4YZbVct8l9MnAVIROnLQdx	95.034	audio_features	2	-8.285	1	0.03	0.384	0.238	0.678	0.386	https://api.spotify.com/v1/tracks/4YZbVct8l9MnAVIROnLQdx	https://api.spotify.com/v1/audio-analysis/4YZbVct8l9MnAVIROnLQdx	194840	4	0.0998	0.00124	hip hop	83.0	72	2012-01-01
267	65	1fOkmYW3ZFkkjIdOZSf596	2h93pZq0e7k5yf4dywlkpM	392p3shh2jkxUxY2VHvlH8	Pink Matter	Frank Ocean	channel ORANGE	True	1	15	spotify:track:1fOkmYW3ZFkkjIdOZSf596	84.093	audio_features	11	-11.473	0	0.0632	0.105	0.493	0.399	0.247	https://api.spotify.com/v1/tracks/1fOkmYW3ZFkkjIdOZSf596	https://api.spotify.com/v1/audio-analysis/1fOkmYW3ZFkkjIdOZSf596	268813	4	0.95	0.000428	hip hop	83.0	72	2012-01-01
303	64	4QhWbupniDd44EDtnh2bFJ	2h93pZq0e7k5yf4dywlkpM	392p3shh2jkxUxY2VHvlH8	Pyramids	Frank Ocean	channel ORANGE	True	1	10	spotify:track:4QhWbupniDd44EDtnh2bFJ	131.952	audio_features	5	-6.109	0	0.0482	0.819	0.196	0.405	0.647	https://api.spotify.com/v1/tracks/4QhWbupniDd44EDtnh2bFJ	https://api.spotify.com/v1/audio-analysis/4QhWbupniDd44EDtnh2bFJ	592920	4	0.0134	7.62e-05	hip hop	83.0	72	2012-01-01
312	83	3bidbhpOYeV4knp8AIu8Xn	5BcAKTbp20cv7tC5VqPFoC	76FXHQhTuT4QMIxfL09gX8	Can't Hold Us - feat. Ray Dalton	Macklemore & Ryan Lewis	The Heist	False	1	2	spotify:track:3bidbhpOYeV4knp8AIu8Xn	146.078	audio_features	2	-4.457	1	0.0786	0.0862	0.847	0.641	0.922	https://api.spotify.com/v1/tracks/3bidbhpOYeV4knp8AIu8Xn	https://api.spotify.com/v1/audio-analysis/3bidbhpOYeV4knp8AIu8Xn	258343	4	0.0291	0.0	pop rap	77.0	73	2012-10-09
339	74	4YMqbFcDIFiCBd02PzUBcM	5BcAKTbp20cv7tC5VqPFoC	6XO9dbsH9zhuQgFGH0hUrb	Thrift Shop (feat. Wanz)	Macklemore & Ryan Lewis	The Heist	True	1	3	spotify:track:4YMqbFcDIFiCBd02PzUBcM	94.992	audio_features	6	-6.985	0	0.293	0.0457	0.662	0.781	0.526	https://api.spotify.com/v1/tracks/4YMqbFcDIFiCBd02PzUBcM	https://api.spotify.com/v1/audio-analysis/4YMqbFcDIFiCBd02PzUBcM	235613	4	0.0619	0.0	pop rap	77.0	67	2012-10-10
363	74	42zd6DYQ4o4SECmTITrM1U	20sxb77xiYeusSH8cVdatc	0zhZDmHEtDtok393SbZ3d7	Dreams and Nightmares	Meek Mill	Dreams and Nightmares (Deluxe Version)	True	1	1	spotify:track:42zd6DYQ4o4SECmTITrM1U	79.745	audio_features	11	-2.459	1	0.3	0.281	0.44	0.631	0.774	https://api.spotify.com/v1/tracks/42zd6DYQ4o4SECmTITrM1U	https://api.spotify.com/v1/audio-analysis/42zd6DYQ4o4SECmTITrM1U	230693	4	0.468	0.0	hip hop	79.0	66	2012-10-26
