	popularity	song_id	artist_id	album_id	song_name	artist_name	album_name	explicit	disc_number	track_number	uri	tempo	type	key	loudness	mode	speechiness	liveness	valence	danceability	energy	track_href	analysis_url	duration_ms	time_signature	acousticness	instrumentalness	artist_genres	artist_popularity	album_popularity	album_release_date
0	73	3mcG2NI5G5vhrQtRda1YnA	3Ayl7mCk0nScecqOzvNp6s	2ZuFyQ3E5n1L0VA9iyH0YV	The Middle	Jimmy Eat World	Bleed American (Deluxe Edition)	False	1	3	spotify:track:3mcG2NI5G5vhrQtRda1YnA	161.944	audio_features	2	-3.401	1	0.0483	0.263	0.93	0.629	0.897	https://api.spotify.com/v1/tracks/3mcG2NI5G5vhrQtRda1YnA	https://api.spotify.com/v1/audio-analysis/3mcG2NI5G5vhrQtRda1YnA	168253	4	0.0424	0.0	alternative rock	68.0	63	2001
27	63	18IqyOGs1pRNZfbMo93r57	3Ayl7mCk0nScecqOzvNp6s	1VbyDS3tGhe4iHfIJ7AMtr	Sweetness	Jimmy Eat World	Bleed American	False	1	5	spotify:track:18IqyOGs1pRNZfbMo93r57	135.253	audio_features	5	-4.412	1	0.038	0.286	0.656	0.491	0.888	https://api.spotify.com/v1/tracks/18IqyOGs1pRNZfbMo93r57	https://api.spotify.com/v1/audio-analysis/18IqyOGs1pRNZfbMo93r57	220027	4	0.00407	0.0	alternative rock	68.0	57	2001-01-01
81	60	0fQlm2MUzqGDBPkuqq4U1Y	3Ayl7mCk0nScecqOzvNp6s	1VbyDS3tGhe4iHfIJ7AMtr	Hear You Me	Jimmy Eat World	Bleed American	False	1	6	spotify:track:0fQlm2MUzqGDBPkuqq4U1Y	136.171	audio_features	4	-6.098	1	0.0273	0.254	0.149	0.474	0.513	https://api.spotify.com/v1/tracks/0fQlm2MUzqGDBPkuqq4U1Y	https://api.spotify.com/v1/audio-analysis/0fQlm2MUzqGDBPkuqq4U1Y	284373	3	0.0123	0.0402	alternative rock	68.0	57	2001-01-01
117	72	2DlHlPMa4M17kufBvI2lEN	5eAWCfyUhZtHHtBdNk56l1	6jWde94ln40epKIQCd8XUh	Chop Suey!	System Of A Down	Toxicity	False	1	6	spotify:track:2DlHlPMa4M17kufBvI2lEN	127.288	audio_features	7	-3.908	0	0.12	0.132	0.286	0.419	0.934	https://api.spotify.com/v1/tracks/2DlHlPMa4M17kufBvI2lEN	https://api.spotify.com/v1/audio-analysis/2DlHlPMa4M17kufBvI2lEN	210240	4	0.000278	0.0015	alternative metal	79.0	68	2001
144	67	0snQkGI5qnAmohLE7jTsTn	5eAWCfyUhZtHHtBdNk56l1	6jWde94ln40epKIQCd8XUh	Toxicity	System Of A Down	Toxicity	False	1	12	spotify:track:0snQkGI5qnAmohLE7jTsTn	116.681	audio_features	8	-4.151	1	0.0535	0.204	0.481	0.413	0.873	https://api.spotify.com/v1/tracks/0snQkGI5qnAmohLE7jTsTn	https://api.spotify.com/v1/audio-analysis/0snQkGI5qnAmohLE7jTsTn	218933	3	0.000264	0.0025	alternative metal	79.0	68	2001
171	65	4e9eGQYsOiBcftrWXwsVco	5eAWCfyUhZtHHtBdNk56l1	6jWde94ln40epKIQCd8XUh	Aerials	System Of A Down	Toxicity	False	1	14	spotify:track:4e9eGQYsOiBcftrWXwsVco	79.342	audio_features	0	-4.217	0	0.0566	0.0696	0.227	0.364	0.922	https://api.spotify.com/v1/tracks/4e9eGQYsOiBcftrWXwsVco	https://api.spotify.com/v1/audio-analysis/4e9eGQYsOiBcftrWXwsVco	235053	4	0.000918	0.035	alternative metal	79.0	68	2001
198	57	3AwLxSqo1jOOMpNsgxqRNE	5eAWCfyUhZtHHtBdNk56l1	6jWde94ln40epKIQCd8XUh	Prison Song	System Of A Down	Toxicity	False	1	1	spotify:track:3AwLxSqo1jOOMpNsgxqRNE	99.733	audio_features	1	-3.252	1	0.135	0.182	0.354	0.495	0.974	https://api.spotify.com/v1/tracks/3AwLxSqo1jOOMpNsgxqRNE	https://api.spotify.com/v1/audio-analysis/3AwLxSqo1jOOMpNsgxqRNE	201160	4	0.0202	8.31e-05	alternative metal	79.0	68	2001
207	67	7kwiwQhWRBSP1PJv4ZFJUK	5eAWCfyUhZtHHtBdNk56l1	7JCeEZz5cHwIxnu7n0nFxM	Chop Suey!	System Of A Down	Toxicity	False	1	6	spotify:track:7kwiwQhWRBSP1PJv4ZFJUK	127.204	audio_features	7	-3.899	0	0.121	0.122	0.3	0.42	0.929	https://api.spotify.com/v1/tracks/7kwiwQhWRBSP1PJv4ZFJUK	https://api.spotify.com/v1/audio-analysis/7kwiwQhWRBSP1PJv4ZFJUK	210240	4	0.000353	0.000747	alternative metal	79.0	59	2001-09-04
210	77	2hKdd3qO7cWr2Jo0Bcs0MA	3FUY2gzHeIiaesXtOAdB7A	6j6Zgm7vzAZegr48UppFVT	Drops of Jupiter	Train	Drops Of Jupiter	False	1	3	spotify:track:2hKdd3qO7cWr2Jo0Bcs0MA	79.297	audio_features	0	-5.862	1	0.0275	0.154	0.499	0.468	0.64	https://api.spotify.com/v1/tracks/2hKdd3qO7cWr2Jo0Bcs0MA	https://api.spotify.com/v1/audio-analysis/2hKdd3qO7cWr2Jo0Bcs0MA	259933	4	0.154	0.0	neo mellow	75.0	66	2001-03-27
237	78	77NNZQSqzLNqh2A9JhLRkg	0rvjqX7ttXeg3mTy8Xscbt	5pfpXvoJtSIFrbPIoBEv3R	Don't Stop Believin'	Journey	The Essential Journey	False	1	2	spotify:track:77NNZQSqzLNqh2A9JhLRkg	119.25	audio_features	4	-7.106	1	0.0392	0.387	0.472	0.491	0.802	https://api.spotify.com/v1/tracks/77NNZQSqzLNqh2A9JhLRkg	https://api.spotify.com/v1/audio-analysis/77NNZQSqzLNqh2A9JhLRkg	248907	4	0.25	0.0	album rock	74.0	69	2001-09-19
