	popularity	song_id	artist_id	album_id	song_name	artist_name	album_name	explicit	disc_number	track_number	uri	tempo	type	key	loudness	mode	speechiness	liveness	valence	danceability	energy	track_href	analysis_url	duration_ms	time_signature	acousticness	instrumentalness	artist_genres	artist_popularity	album_popularity	album_release_date
0	88	75ZvA4QfFiZvzhj2xkaWAh	246dkjvS1zLTtiykXe5h60	5s0rmjP8XOPhP6HhqOhuyC	I Fall Apart	Post Malone	Stoney (Deluxe)	True	1	7	spotify:track:75ZvA4QfFiZvzhj2xkaWAh	143.916	audio_features	8	-5.357	0	0.0398	0.199	0.308	0.573	0.543	https://api.spotify.com/v1/tracks/75ZvA4QfFiZvzhj2xkaWAh	https://api.spotify.com/v1/audio-analysis/75ZvA4QfFiZvzhj2xkaWAh	223347	4	0.0777	0.0	pop	100.0	87	2016-12-09
27	85	3a1lNhkSLSkpJE4MSHpDu9	246dkjvS1zLTtiykXe5h60	5s0rmjP8XOPhP6HhqOhuyC	Congratulations	Post Malone	Stoney (Deluxe)	True	1	12	spotify:track:3a1lNhkSLSkpJE4MSHpDu9	123.071	audio_features	6	-4.215	1	0.0358	0.212	0.504	0.627	0.812	https://api.spotify.com/v1/tracks/3a1lNhkSLSkpJE4MSHpDu9	https://api.spotify.com/v1/audio-analysis/3a1lNhkSLSkpJE4MSHpDu9	220293	4	0.198	0.0	pop	100.0	87	2016-12-09
54	81	5yuShbu70mtHXY0yLzCQLQ	246dkjvS1zLTtiykXe5h60	5s0rmjP8XOPhP6HhqOhuyC	Go Flex	Post Malone	Stoney (Deluxe)	True	1	9	spotify:track:5yuShbu70mtHXY0yLzCQLQ	81.951	audio_features	5	-8.267	1	0.109	0.0769	0.133	0.662	0.496	https://api.spotify.com/v1/tracks/5yuShbu70mtHXY0yLzCQLQ	https://api.spotify.com/v1/audio-analysis/5yuShbu70mtHXY0yLzCQLQ	179613	4	0.248	0.0	pop	100.0	87	2016-12-09
81	81	6eT7xZZlB2mwyzJ2sUKG6w	246dkjvS1zLTtiykXe5h60	5s0rmjP8XOPhP6HhqOhuyC	White Iverson	Post Malone	Stoney (Deluxe)	True	1	6	spotify:track:6eT7xZZlB2mwyzJ2sUKG6w	130.081	audio_features	7	-7.678	1	0.0349	0.0863	0.321	0.674	0.568	https://api.spotify.com/v1/tracks/6eT7xZZlB2mwyzJ2sUKG6w	https://api.spotify.com/v1/audio-analysis/6eT7xZZlB2mwyzJ2sUKG6w	256533	4	0.216	0.0	pop	100.0	87	2016-12-09
108	78	6M0IsaUX4GNyto4niSegfI	246dkjvS1zLTtiykXe5h60	5s0rmjP8XOPhP6HhqOhuyC	No Option	Post Malone	Stoney (Deluxe)	True	1	4	spotify:track:6M0IsaUX4GNyto4niSegfI	84.024	audio_features	2	-5.081	1	0.0655	0.25	0.474	0.654	0.717	https://api.spotify.com/v1/tracks/6M0IsaUX4GNyto4niSegfI	https://api.spotify.com/v1/audio-analysis/6M0IsaUX4GNyto4niSegfI	179827	4	0.085	0.0	pop	100.0	87	2016-12-09
135	77	0H8XeaJunhvpBdBFIYi6Sh	246dkjvS1zLTtiykXe5h60	5s0rmjP8XOPhP6HhqOhuyC	Deja Vu	Post Malone	Stoney (Deluxe)	True	1	3	spotify:track:0H8XeaJunhvpBdBFIYi6Sh	133.932	audio_features	7	-6.498	1	0.0458	0.116	0.372	0.613	0.702	https://api.spotify.com/v1/tracks/0H8XeaJunhvpBdBFIYi6Sh	https://api.spotify.com/v1/audio-analysis/0H8XeaJunhvpBdBFIYi6Sh	234213	4	0.0995	0.0	pop	100.0	87	2016-12-09
162	76	35r28RDot7nPE7y9K9H7l0	246dkjvS1zLTtiykXe5h60	5s0rmjP8XOPhP6HhqOhuyC	Feeling Whitney	Post Malone	Stoney (Deluxe)	True	1	18	spotify:track:35r28RDot7nPE7y9K9H7l0	81.006	audio_features	0	-12.602	1	0.0371	0.231	0.227	0.417	0.229	https://api.spotify.com/v1/tracks/35r28RDot7nPE7y9K9H7l0	https://api.spotify.com/v1/audio-analysis/35r28RDot7nPE7y9K9H7l0	257267	4	0.81	4.63e-06	pop	100.0	87	2016-12-09
189	75	4SYUUlkScpNR1QvPscXf8t	246dkjvS1zLTtiykXe5h60	5s0rmjP8XOPhP6HhqOhuyC	Too Young	Post Malone	Stoney (Deluxe)	True	1	11	spotify:track:4SYUUlkScpNR1QvPscXf8t	123.128	audio_features	11	-6.431	0	0.0613	0.0838	0.243	0.631	0.637	https://api.spotify.com/v1/tracks/4SYUUlkScpNR1QvPscXf8t	https://api.spotify.com/v1/audio-analysis/4SYUUlkScpNR1QvPscXf8t	237147	4	0.286	4.52e-05	pop	100.0	87	2016-12-09
243	74	1ysAvOdJgUjc6CqOQxepaz	246dkjvS1zLTtiykXe5h60	5s0rmjP8XOPhP6HhqOhuyC	Money Made Me Do It	Post Malone	Stoney (Deluxe)	True	1	17	spotify:track:1ysAvOdJgUjc6CqOQxepaz	82.992	audio_features	4	-6.536	0	0.15	0.0673	0.348	0.741	0.434	https://api.spotify.com/v1/tracks/1ysAvOdJgUjc6CqOQxepaz	https://api.spotify.com/v1/audio-analysis/1ysAvOdJgUjc6CqOQxepaz	224960	4	0.311	0.0	pop	100.0	87	2016-12-09
297	74	02opp1cycqiFNDpLd2o1J3	246dkjvS1zLTtiykXe5h60	5s0rmjP8XOPhP6HhqOhuyC	Big Lie	Post Malone	Stoney (Deluxe)	True	1	2	spotify:track:02opp1cycqiFNDpLd2o1J3	77.917	audio_features	6	-4.951	0	0.243	0.0722	0.217	0.325	0.689	https://api.spotify.com/v1/tracks/02opp1cycqiFNDpLd2o1J3	https://api.spotify.com/v1/audio-analysis/02opp1cycqiFNDpLd2o1J3	207680	4	0.197	0.0	pop	100.0	87	2016-12-09
333	73	5DLTuH4A5VZB2HKpqHQR6t	246dkjvS1zLTtiykXe5h60	5s0rmjP8XOPhP6HhqOhuyC	Patient	Post Malone	Stoney (Deluxe)	True	1	8	spotify:track:5DLTuH4A5VZB2HKpqHQR6t	89.92	audio_features	5	-6.224	0	0.324	0.128	0.559	0.497	0.654	https://api.spotify.com/v1/tracks/5DLTuH4A5VZB2HKpqHQR6t	https://api.spotify.com/v1/audio-analysis/5DLTuH4A5VZB2HKpqHQR6t	194333	4	0.576	0.0	pop	100.0	87	2016-12-09
369	72	5dI1yHSqgmilFEqpGbqxHh	246dkjvS1zLTtiykXe5h60	5s0rmjP8XOPhP6HhqOhuyC	Leave	Post Malone	Stoney (Deluxe)	True	1	15	spotify:track:5dI1yHSqgmilFEqpGbqxHh	90.086	audio_features	4	-7.168	1	0.023	0.133	0.601	0.535	0.577	https://api.spotify.com/v1/tracks/5dI1yHSqgmilFEqpGbqxHh	https://api.spotify.com/v1/audio-analysis/5dI1yHSqgmilFEqpGbqxHh	324853	4	0.238	7.6e-05	pop	100.0	87	2016-12-09
378	87	6gBFPUFcJLzWGx4lenP6h2	0Y5tJX1MQlPlqiwlOH1tJY	42WVQWuf1teDysXiOupIZt	goosebumps	Travis Scott	Birds In The Trap Sing McKnight	True	1	9	spotify:track:6gBFPUFcJLzWGx4lenP6h2	130.049	audio_features	7	-3.37	1	0.0484	0.149	0.43	0.841	0.728	https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2	https://api.spotify.com/v1/audio-analysis/6gBFPUFcJLzWGx4lenP6h2	243837	4	0.0847	0.0	pop	90.0	81	2016-09-16
405	79	0ESJlaM8CE1jRWaNtwSNj8	0Y5tJX1MQlPlqiwlOH1tJY	42WVQWuf1teDysXiOupIZt	beibs in the trap	Travis Scott	Birds In The Trap Sing McKnight	True	1	5	spotify:track:0ESJlaM8CE1jRWaNtwSNj8	119.054	audio_features	7	-6.054	0	0.145	0.291	0.495	0.743	0.571	https://api.spotify.com/v1/tracks/0ESJlaM8CE1jRWaNtwSNj8	https://api.spotify.com/v1/audio-analysis/0ESJlaM8CE1jRWaNtwSNj8	213863	4	0.24	0.0	pop	90.0	81	2016-09-16
432	77	20dP2DaMHIAmwWAbp7peSr	50co4Is1HCEo8bhOyUWKpn	42WVQWuf1teDysXiOupIZt	pick up the phone	Young Thug	Birds In The Trap Sing McKnight	True	1	11	spotify:track:20dP2DaMHIAmwWAbp7peSr	136.919	audio_features	7	-3.804	0	0.129	0.226	0.43	0.711	0.739	https://api.spotify.com/v1/tracks/20dP2DaMHIAmwWAbp7peSr	https://api.spotify.com/v1/audio-analysis/20dP2DaMHIAmwWAbp7peSr	252256	4	0.114	0.0	dwn trap	87.0	81	2016-09-16
456	81	3kxfsdsCpFgN412fpnW85Y	73sIBHcqh3Z3NyqHKZ7FOL	4xnq1L6P551Qcb9gBXNMK7	Redbone	Childish Gambino	"""Awaken, My Love!"""	True	1	6	spotify:track:3kxfsdsCpFgN412fpnW85Y	160.083	audio_features	1	-10.401	1	0.0794	0.137	0.587	0.743	0.359	https://api.spotify.com/v1/tracks/3kxfsdsCpFgN412fpnW85Y	https://api.spotify.com/v1/audio-analysis/3kxfsdsCpFgN412fpnW85Y	326933	4	0.199	0.00611	hip hop	81.0	72	2016-12-02
483	80	7zVCrzzEJU7u24sbJPXA5W	3oSJ7TBVCWMDMiYjXNiCKE	4hhvgHjPqUOAYkclDkhL2T	What Ifs	Kane Brown	Kane Brown	False	1	2	spotify:track:7zVCrzzEJU7u24sbJPXA5W	125.976	audio_features	10	-4.603	1	0.0275	0.172	0.687	0.612	0.799	https://api.spotify.com/v1/tracks/7zVCrzzEJU7u24sbJPXA5W	https://api.spotify.com/v1/audio-analysis/7zVCrzzEJU7u24sbJPXA5W	188253	4	0.00898	0.0	contemporary country	76.0	71	2016-12-02
510	82	2EEeOnHehOozLq4aS0n6SL	4qBgvVog0wzW75IQ48mU7v	15qLmAABocTCRBSbWWqL7K	iSpy (feat. Lil Yachty)	KYLE	iSpy (feat. Lil Yachty)	True	1	1	spotify:track:2EEeOnHehOozLq4aS0n6SL	75.016	audio_features	7	-6.745	1	0.289	0.229	0.672	0.746	0.653	https://api.spotify.com/v1/tracks/2EEeOnHehOozLq4aS0n6SL	https://api.spotify.com/v1/audio-analysis/2EEeOnHehOozLq4aS0n6SL	253107	4	0.378	0.0	pop	79.0	71	2016-12-02
537	86	0KKkJNfGyhkQ5aFogxQAPU	0du5cEVh5yTK9QJze8zA0C	4PgleR09JVnm3zY1fW3XBA	That's What I Like	Bruno Mars	24K Magic	False	1	4	spotify:track:0KKkJNfGyhkQ5aFogxQAPU	134.066	audio_features	1	-4.961	1	0.0406	0.0944	0.86	0.853	0.56	https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU	https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU	206693	4	0.013	0.0	dance pop	89.0	82	2016-11-17
