	popularity	song_id	artist_id	album_id	song_name	artist_name	album_name	explicit	disc_number	track_number	uri	tempo	type	key	loudness	mode	speechiness	liveness	valence	danceability	energy	track_href	analysis_url	duration_ms	time_signature	acousticness	instrumentalness	artist_genres	artist_popularity	album_popularity	album_release_date
0	77	5Z01UMMf7V1o0MzF86s6WJ	7dGJo4pcD2V6oG8kP0tJRR	5qENHeCSlwWpEzb25peRmQ	Lose Yourself - Soundtrack Version	Eminem	Curtain Call (Deluxe)	True	1	6	spotify:track:5Z01UMMf7V1o0MzF86s6WJ	171.431	audio_features	2	-4.522	1	0.266	0.359	0.0689	0.698	0.732	https://api.spotify.com/v1/tracks/5Z01UMMf7V1o0MzF86s6WJ	https://api.spotify.com/v1/audio-analysis/5Z01UMMf7V1o0MzF86s6WJ	326467	4	0.00704	0.000647	detroit hip hop	91.0	71	2005-12-06
27	67	42YNobZ4HN3tRVEA47wLT6	7dGJo4pcD2V6oG8kP0tJRR	5qENHeCSlwWpEzb25peRmQ	When I'm Gone	Eminem	Curtain Call (Deluxe)	True	1	16	spotify:track:42YNobZ4HN3tRVEA47wLT6	74.89	audio_features	1	-5.574	1	0.355	0.253	0.723	0.535	0.73	https://api.spotify.com/v1/tracks/42YNobZ4HN3tRVEA47wLT6	https://api.spotify.com/v1/audio-analysis/42YNobZ4HN3tRVEA47wLT6	281133	4	0.0529	0.0	detroit hip hop	91.0	71	2005-12-06
81	66	0fGh0trRN1xz3s41r7V5ce	7dGJo4pcD2V6oG8kP0tJRR	5qENHeCSlwWpEzb25peRmQ	Shake That	Eminem	Curtain Call (Deluxe)	True	1	7	spotify:track:0fGh0trRN1xz3s41r7V5ce	106.995	audio_features	1	-5.987	0	0.12	0.158	0.533	0.962	0.64	https://api.spotify.com/v1/tracks/0fGh0trRN1xz3s41r7V5ce	https://api.spotify.com/v1/audio-analysis/0fGh0trRN1xz3s41r7V5ce	274440	4	0.0556	1.97e-05	detroit hip hop	91.0	71	2005-12-06
135	62	5ASZFbCod633wLragmPYTj	3nFkdlSjzX9mRTtwJOzDYB	5qENHeCSlwWpEzb25peRmQ	Renegade	JAY Z	Curtain Call (Deluxe)	True	2	6	spotify:track:5ASZFbCod633wLragmPYTj	82.535	audio_features	1	-4.898	0	0.412	0.173	0.822	0.646	0.718	https://api.spotify.com/v1/tracks/5ASZFbCod633wLragmPYTj	https://api.spotify.com/v1/audio-analysis/5ASZFbCod633wLragmPYTj	336133	4	0.436	1.86e-06	bulgarian hip hop	82.0	71	2005-12-06
138	75	4bPQs0PHn4xbipzdPfn6du	20JZFwl6HVl6yg8a4H3ZqK	2YeOhhJg3OWpN0F1VYPxtW	I Write Sins Not Tragedies	Panic! At The Disco	A Fever You Can't Sweat Out	False	1	10	spotify:track:4bPQs0PHn4xbipzdPfn6du	170.06	audio_features	9	-4.985	0	0.134	0.114	0.635	0.567	0.795	https://api.spotify.com/v1/tracks/4bPQs0PHn4xbipzdPfn6du	https://api.spotify.com/v1/audio-analysis/4bPQs0PHn4xbipzdPfn6du	187613	4	0.0938	0.0	emo	83.0	70	2005-09-27
165	66	5eB7w8UZJKjL5XmnC6Pctg	20JZFwl6HVl6yg8a4H3ZqK	2YeOhhJg3OWpN0F1VYPxtW	Lying Is The Most Fun A Girl Can Have Without Taking Her Clothes Off	Panic! At The Disco	A Fever You Can't Sweat Out	True	1	7	spotify:track:5eB7w8UZJKjL5XmnC6Pctg	125.966	audio_features	8	-4.644	1	0.0995	0.154	0.475	0.66	0.799	https://api.spotify.com/v1/tracks/5eB7w8UZJKjL5XmnC6Pctg	https://api.spotify.com/v1/audio-analysis/5eB7w8UZJKjL5XmnC6Pctg	200227	4	0.106	0.0	emo	83.0	70	2005-09-27
219	63	4rstj4vgkFq49R2VV0fbxX	20JZFwl6HVl6yg8a4H3ZqK	2YeOhhJg3OWpN0F1VYPxtW	Build God, Then We'll Talk	Panic! At The Disco	A Fever You Can't Sweat Out	False	1	13	spotify:track:4rstj4vgkFq49R2VV0fbxX	124.532	audio_features	11	-4.133	0	0.0476	0.336	0.448	0.418	0.827	https://api.spotify.com/v1/tracks/4rstj4vgkFq49R2VV0fbxX	https://api.spotify.com/v1/audio-analysis/4rstj4vgkFq49R2VV0fbxX	220720	4	0.138	0.0	emo	83.0	70	2005-09-27
255	62	4WdopfTdSd0nCLropjhsgH	20JZFwl6HVl6yg8a4H3ZqK	2YeOhhJg3OWpN0F1VYPxtW	The Only Difference Between Martyrdom and Suicide is Press Coverage	Panic! At The Disco	A Fever You Can't Sweat Out	False	1	2	spotify:track:4WdopfTdSd0nCLropjhsgH	170.068	audio_features	6	-3.902	0	0.216	0.35	0.696	0.517	0.93	https://api.spotify.com/v1/tracks/4WdopfTdSd0nCLropjhsgH	https://api.spotify.com/v1/audio-analysis/4WdopfTdSd0nCLropjhsgH	176933	4	0.0598	0.0	emo	83.0	70	2005-09-27
291	62	2ZqTtndqAZDRAWw2vgZwQK	20JZFwl6HVl6yg8a4H3ZqK	2YeOhhJg3OWpN0F1VYPxtW	But It's Better If You Do	Panic! At The Disco	A Fever You Can't Sweat Out	False	1	9	spotify:track:2ZqTtndqAZDRAWw2vgZwQK	170.036	audio_features	9	-3.063	0	0.0716	0.29	0.674	0.467	0.848	https://api.spotify.com/v1/tracks/2ZqTtndqAZDRAWw2vgZwQK	https://api.spotify.com/v1/audio-analysis/2ZqTtndqAZDRAWw2vgZwQK	205752	4	0.0617	0.0	emo	83.0	70	2005-09-27
327	76	1PS1QMdUqOal0ai3Gt7sDQ	5K4W6rqBFWDnAN6FQUkS6x	5ll74bqtkcXlKE7wwkMq4g	Gold Digger	Kanye West	Late Registration	True	1	4	spotify:track:1PS1QMdUqOal0ai3Gt7sDQ	92.939	audio_features	1	-5.54	0	0.384	0.0917	0.66	0.638	0.699	https://api.spotify.com/v1/tracks/1PS1QMdUqOal0ai3Gt7sDQ	https://api.spotify.com/v1/audio-analysis/1PS1QMdUqOal0ai3Gt7sDQ	207627	4	0.0223	0.0	pop	90.0	70	2005-09-30
