	popularity	song_id	artist_id	album_id	song_name	artist_name	album_name	explicit	disc_number	track_number	uri	tempo	type	key	loudness	mode	speechiness	liveness	valence	danceability	energy	track_href	analysis_url	duration_ms	time_signature	acousticness	instrumentalness	artist_genres	artist_popularity	album_popularity	album_release_date
0	76	2gZUPNdnz5Y45eiGxpHGSc	5K4W6rqBFWDnAN6FQUkS6x	20r762YmB5HeofjMCiPMLv	POWER	Kanye West	My Beautiful Dark Twisted Fantasy	True	1	3	spotify:track:2gZUPNdnz5Y45eiGxpHGSc	154.042	audio_features	0	-4.684	0	0.129	0.689	0.588	0.538	0.912	https://api.spotify.com/v1/tracks/2gZUPNdnz5Y45eiGxpHGSc	https://api.spotify.com/v1/audio-analysis/2gZUPNdnz5Y45eiGxpHGSc	292093	4	0.0178	0.0	pop	90.0	73	2010-01-01
27	72	22L7bfCiAkJo5xGSQgmiIO	5K4W6rqBFWDnAN6FQUkS6x	20r762YmB5HeofjMCiPMLv	All Of The Lights	Kanye West	My Beautiful Dark Twisted Fantasy	True	1	5	spotify:track:22L7bfCiAkJo5xGSQgmiIO	142.156	audio_features	1	-3.234	1	0.0533	0.19	0.297	0.558	0.794	https://api.spotify.com/v1/tracks/22L7bfCiAkJo5xGSQgmiIO	https://api.spotify.com/v1/audio-analysis/22L7bfCiAkJo5xGSQgmiIO	299613	4	0.0724	2.15e-05	pop	90.0	73	2010-01-01
54	69	3DK6m7It6Pw857FcQftMds	5K4W6rqBFWDnAN6FQUkS6x	20r762YmB5HeofjMCiPMLv	Runaway	Kanye West	My Beautiful Dark Twisted Fantasy	True	1	9	spotify:track:3DK6m7It6Pw857FcQftMds	86.966	audio_features	1	-3.724	0	0.0725	0.527	0.107	0.552	0.577	https://api.spotify.com/v1/tracks/3DK6m7It6Pw857FcQftMds	https://api.spotify.com/v1/audio-analysis/3DK6m7It6Pw857FcQftMds	547733	4	0.195	0.00257	pop	90.0	73	2010-01-01
81	68	1ZHYJ2Wwgxes4m8Ba88PeK	5K4W6rqBFWDnAN6FQUkS6x	20r762YmB5HeofjMCiPMLv	Monster	Kanye West	My Beautiful Dark Twisted Fantasy	True	1	6	spotify:track:1ZHYJ2Wwgxes4m8Ba88PeK	124.283	audio_features	11	-5.619	0	0.242	0.525	0.0917	0.621	0.683	https://api.spotify.com/v1/tracks/1ZHYJ2Wwgxes4m8Ba88PeK	https://api.spotify.com/v1/audio-analysis/1ZHYJ2Wwgxes4m8Ba88PeK	378893	5	0.00243	0.00856	pop	90.0	73	2010-01-01
108	64	23SZWX2IaDnxmhFsSLvkG2	5K4W6rqBFWDnAN6FQUkS6x	20r762YmB5HeofjMCiPMLv	Gorgeous	Kanye West	My Beautiful Dark Twisted Fantasy	True	1	2	spotify:track:23SZWX2IaDnxmhFsSLvkG2	91.99	audio_features	1	-3.533	0	0.0364	0.167	0.122	0.6	0.736	https://api.spotify.com/v1/tracks/23SZWX2IaDnxmhFsSLvkG2	https://api.spotify.com/v1/audio-analysis/23SZWX2IaDnxmhFsSLvkG2	357653	4	0.0255	0.000139	pop	90.0	73	2010-01-01
144	63	1UGD3lW3tDmgZfAVDh6w7r	5K4W6rqBFWDnAN6FQUkS6x	20r762YmB5HeofjMCiPMLv	Devil In A New Dress	Kanye West	My Beautiful Dark Twisted Fantasy	True	1	8	spotify:track:1UGD3lW3tDmgZfAVDh6w7r	84.239	audio_features	11	-4.857	1	0.135	0.145	0.193	0.304	0.756	https://api.spotify.com/v1/tracks/1UGD3lW3tDmgZfAVDh6w7r	https://api.spotify.com/v1/audio-analysis/1UGD3lW3tDmgZfAVDh6w7r	351947	4	0.0162	0.0	pop	90.0	73	2010-01-01
153	64	7yNK27ZTpHew0c55VvIJgm	5K4W6rqBFWDnAN6FQUkS6x	20r762YmB5HeofjMCiPMLv	Dark Fantasy	Kanye West	My Beautiful Dark Twisted Fantasy	True	1	1	spotify:track:7yNK27ZTpHew0c55VvIJgm	87.939	audio_features	2	-5.836	0	0.0474	0.186	0.416	0.594	0.585	https://api.spotify.com/v1/tracks/7yNK27ZTpHew0c55VvIJgm	https://api.spotify.com/v1/audio-analysis/7yNK27ZTpHew0c55VvIJgm	280787	4	0.362	0.0	pop	90.0	73	2010-01-01
162	79	7BqBn9nzAq8spo5e7cZ0dJ	0du5cEVh5yTK9QJze8zA0C	1uyf3l2d4XYwiEqAb7t7fX	Just The Way You Are	Bruno Mars	Doo-Wops & Hooligans	False	1	2	spotify:track:7BqBn9nzAq8spo5e7cZ0dJ	109.012	audio_features	5	-5.413	1	0.0432	0.0876	0.434	0.637	0.843	https://api.spotify.com/v1/tracks/7BqBn9nzAq8spo5e7cZ0dJ	https://api.spotify.com/v1/audio-analysis/7BqBn9nzAq8spo5e7cZ0dJ	220733	4	0.0151	0.0	dance pop	89.0	76	2010-10-05
189	73	2tJulUYLDKOg9XrtVkMgcJ	0du5cEVh5yTK9QJze8zA0C	1uyf3l2d4XYwiEqAb7t7fX	Grenade	Bruno Mars	Doo-Wops & Hooligans	False	1	1	spotify:track:2tJulUYLDKOg9XrtVkMgcJ	110.443	audio_features	2	-7.237	0	0.0593	0.118	0.227	0.706	0.558	https://api.spotify.com/v1/tracks/2tJulUYLDKOg9XrtVkMgcJ	https://api.spotify.com/v1/audio-analysis/2tJulUYLDKOg9XrtVkMgcJ	223253	4	0.146	0.0	dance pop	89.0	76	2010-10-05
216	72	1ExfPZEiahqhLyajhybFeS	0du5cEVh5yTK9QJze8zA0C	1uyf3l2d4XYwiEqAb7t7fX	The Lazy Song	Bruno Mars	Doo-Wops & Hooligans	False	1	5	spotify:track:1ExfPZEiahqhLyajhybFeS	174.943	audio_features	11	-3.851	1	0.0621	0.279	0.949	0.738	0.804	https://api.spotify.com/v1/tracks/1ExfPZEiahqhLyajhybFeS	https://api.spotify.com/v1/audio-analysis/1ExfPZEiahqhLyajhybFeS	190213	4	0.332	0.0	dance pop	89.0	76	2010-10-05
