	popularity	song_id	artist_id	album_id	song_name	artist_name	album_name	explicit	disc_number	track_number	uri	tempo	type	key	loudness	mode	speechiness	liveness	valence	danceability	energy	track_href	analysis_url	duration_ms	time_signature	acousticness	instrumentalness	artist_genres	artist_popularity	album_popularity	album_release_date
0	75	5eek2X5459T1HoYJk2CKXv	4RddZ3iHvSpGV4dvATac9X	3VdXq4YQIt3ugs05SjFmsD	Last Resort	Papa Roach	Infest	True	1	2	spotify:track:5eek2X5459T1HoYJk2CKXv	90.578	audio_features	4	-3.659	0	0.0624	0.268	0.724	0.581	0.887	https://api.spotify.com/v1/tracks/5eek2X5459T1HoYJk2CKXv	https://api.spotify.com/v1/audio-analysis/5eek2X5459T1HoYJk2CKXv	199893	4	0.000504	0.00111	alternative metal	75	64	2000-01-01
27	74	6ZOBP3NvffbU4SZcrnt1k6	2RTUTCvo6onsAnheUk3aL9	5gO2acKSOaJnP0Mcy8IpU6	Kryptonite	3 Doors Down	The Better Life	False	1	1	spotify:track:6ZOBP3NvffbU4SZcrnt1k6	99.031	audio_features	11	-5.054	0	0.0306	0.165	0.581	0.545	0.86	https://api.spotify.com/v1/tracks/6ZOBP3NvffbU4SZcrnt1k6	https://api.spotify.com/v1/audio-analysis/6ZOBP3NvffbU4SZcrnt1k6	233827	4	0.00624	2.18e-05	alternative metal	72	63	2000
54	82	60a0Rd6pjrkxjPbaKzXjfq	6XyY86QOPPrYVGvF9ch6wz	6hPkbAV3ZXpGZBGUvL6jVM	In The End	Linkin Park	Hybrid Theory (Bonus Track Version)	False	1	8	spotify:track:60a0Rd6pjrkxjPbaKzXjfq	105.256	audio_features	3	-6.407	0	0.0498	0.108	0.37	0.542	0.853	https://api.spotify.com/v1/tracks/60a0Rd6pjrkxjPbaKzXjfq	https://api.spotify.com/v1/audio-analysis/60a0Rd6pjrkxjPbaKzXjfq	216933	4	0.0103	0.0	alternative metal	85	77	2000-10-24
81	73	3K4HG9evC7dg3N0R9cYqk4	6XyY86QOPPrYVGvF9ch6wz	6hPkbAV3ZXpGZBGUvL6jVM	One Step Closer	Linkin Park	Hybrid Theory (Bonus Track Version)	False	1	2	spotify:track:3K4HG9evC7dg3N0R9cYqk4	95.136	audio_features	9	-4.419	1	0.0491	0.0787	0.538	0.492	0.969	https://api.spotify.com/v1/tracks/3K4HG9evC7dg3N0R9cYqk4	https://api.spotify.com/v1/audio-analysis/3K4HG9evC7dg3N0R9cYqk4	157333	4	0.0014	1.32e-06	alternative metal	85	77	2000-10-24
108	73	57BrRMwf9LrcmuOsyGilwr	6XyY86QOPPrYVGvF9ch6wz	6hPkbAV3ZXpGZBGUvL6jVM	Crawling	Linkin Park	Hybrid Theory (Bonus Track Version)	False	1	5	spotify:track:57BrRMwf9LrcmuOsyGilwr	105.076	audio_features	4	-5.565	1	0.0337	0.536	0.299	0.58	0.702	https://api.spotify.com/v1/tracks/57BrRMwf9LrcmuOsyGilwr	https://api.spotify.com/v1/audio-analysis/57BrRMwf9LrcmuOsyGilwr	208960	4	0.0466	3.2e-06	alternative metal	85	77	2000-10-24
135	72	1Vej0qeQ3ioKwpI6FUbRv1	6XyY86QOPPrYVGvF9ch6wz	6hPkbAV3ZXpGZBGUvL6jVM	Papercut	Linkin Park	Hybrid Theory (Bonus Track Version)	False	1	1	spotify:track:1Vej0qeQ3ioKwpI6FUbRv1	150.184	audio_features	9	-3.994	1	0.113	0.623	0.661	0.524	0.939	https://api.spotify.com/v1/tracks/1Vej0qeQ3ioKwpI6FUbRv1	https://api.spotify.com/v1/audio-analysis/1Vej0qeQ3ioKwpI6FUbRv1	184867	4	0.00022	0.0	alternative metal	85	77	2000-10-24
189	67	5rAxhWcgFng3s570sGO2F8	6XyY86QOPPrYVGvF9ch6wz	6hPkbAV3ZXpGZBGUvL6jVM	A Place For My Head	Linkin Park	Hybrid Theory (Bonus Track Version)	False	1	9	spotify:track:5rAxhWcgFng3s570sGO2F8	133.063	audio_features	11	-5.254	1	0.184	0.671	0.457	0.603	0.908	https://api.spotify.com/v1/tracks/5rAxhWcgFng3s570sGO2F8	https://api.spotify.com/v1/audio-analysis/5rAxhWcgFng3s570sGO2F8	184640	4	0.0144	0.0	alternative metal	85	77	2000-10-24
225	66	5egqKwgK5r5rvGD1LrtR7J	6XyY86QOPPrYVGvF9ch6wz	6hPkbAV3ZXpGZBGUvL6jVM	Points Of Authority	Linkin Park	Hybrid Theory (Bonus Track Version)	False	1	4	spotify:track:5egqKwgK5r5rvGD1LrtR7J	94.952	audio_features	8	-3.886	0	0.212	0.0994	0.427	0.512	0.97	https://api.spotify.com/v1/tracks/5egqKwgK5r5rvGD1LrtR7J	https://api.spotify.com/v1/audio-analysis/5egqKwgK5r5rvGD1LrtR7J	200240	4	0.03	0.0	alternative metal	85	77	2000-10-24
261	65	6xtQ23d8GEXgcxyUKPtwc5	6XyY86QOPPrYVGvF9ch6wz	6hPkbAV3ZXpGZBGUvL6jVM	Runaway	Linkin Park	Hybrid Theory (Bonus Track Version)	False	1	6	spotify:track:6xtQ23d8GEXgcxyUKPtwc5	109.16	audio_features	7	-4.743	1	0.0584	0.253	0.446	0.636	0.884	https://api.spotify.com/v1/tracks/6xtQ23d8GEXgcxyUKPtwc5	https://api.spotify.com/v1/audio-analysis/6xtQ23d8GEXgcxyUKPtwc5	183973	4	0.0142	0.0	alternative metal	85	77	2000-10-24
270	64	3tSmXSxaAnU1EPGKa6NytH	6XyY86QOPPrYVGvF9ch6wz	2pKw6GERJVAD61449B1EEM	In The End	Linkin Park	Hybrid Theory	False	1	8	spotify:track:3tSmXSxaAnU1EPGKa6NytH	105.256	audio_features	3	-6.407	0	0.0498	0.108	0.37	0.542	0.853	https://api.spotify.com/v1/tracks/3tSmXSxaAnU1EPGKa6NytH	https://api.spotify.com/v1/audio-analysis/3tSmXSxaAnU1EPGKa6NytH	216933	4	0.0103	0.0	alternative metal	85	58	2000-10-24
294	59	5Za8bsHPb08SZXm0bvbDXy	6XyY86QOPPrYVGvF9ch6wz	2pKw6GERJVAD61449B1EEM	Crawling	Linkin Park	Hybrid Theory	False	1	5	spotify:track:5Za8bsHPb08SZXm0bvbDXy	105.076	audio_features	4	-5.565	1	0.0337	0.536	0.299	0.58	0.702	https://api.spotify.com/v1/tracks/5Za8bsHPb08SZXm0bvbDXy	https://api.spotify.com/v1/audio-analysis/5Za8bsHPb08SZXm0bvbDXy	208960	4	0.0466	3.2e-06	alternative metal	85	58	2000-10-24
