	popularity	song_id	artist_id	album_id	song_name	artist_name	album_name	explicit	disc_number	track_number	uri	tempo	type	key	loudness	mode	speechiness	liveness	valence	danceability	energy	track_href	analysis_url	duration_ms	time_signature	acousticness	instrumentalness	artist_genres	artist_popularity	album_popularity	album_release_date
0	78	7KwZNVEaqikRSBSpyhXK2j	5me0Irg2ANcsgc93uaYrpb	7dRdaGSxgcBdJnrOviQRuB	Hypnotize - 2014 Remastered Version	The Notorious B.I.G.	Life After Death (Remastered Edition)	True	1	3	spotify:track:7KwZNVEaqikRSBSpyhXK2j	93.941	audio_features	9	-3.439	1	0.28	0.287	0.67	0.901	0.697	https://api.spotify.com/v1/tracks/7KwZNVEaqikRSBSpyhXK2j	https://api.spotify.com/v1/audio-analysis/7KwZNVEaqikRSBSpyhXK2j	229827	4	0.145	0.0	east coast hip hop	79	73	1997-03-04
27	74	4INDiWSKvqSKDEu7mh8HFz	5me0Irg2ANcsgc93uaYrpb	7dRdaGSxgcBdJnrOviQRuB	Mo Money Mo Problems (feat. Mase & Puff Daddy) - 2014 Remastered Version	The Notorious B.I.G.	Life After Death (Remastered Edition)	True	1	10	spotify:track:4INDiWSKvqSKDEu7mh8HFz	104.536	audio_features	6	-4.506	0	0.0759	0.203	0.904	0.845	0.884	https://api.spotify.com/v1/tracks/4INDiWSKvqSKDEu7mh8HFz	https://api.spotify.com/v1/audio-analysis/4INDiWSKvqSKDEu7mh8HFz	257400	4	0.0128	2.1e-06	east coast hip hop	79	73	1997-03-04
54	68	19FsxX4RthRMZGfXkImdCb	5me0Irg2ANcsgc93uaYrpb	7dRdaGSxgcBdJnrOviQRuB	Notorious Thugs - 2014 Remastered Version	The Notorious B.I.G.	Life After Death (Remastered Edition)	True	1	13	spotify:track:19FsxX4RthRMZGfXkImdCb	154.914	audio_features	11	-4.057	0	0.144	0.24	0.742	0.704	0.873	https://api.spotify.com/v1/tracks/19FsxX4RthRMZGfXkImdCb	https://api.spotify.com/v1/audio-analysis/19FsxX4RthRMZGfXkImdCb	366880	4	0.121	5.12e-06	east coast hip hop	79	73	1997-03-04
81	62	1Z7C8ClE8UEaH70jCCeJH2	5me0Irg2ANcsgc93uaYrpb	7dRdaGSxgcBdJnrOviQRuB	Ten Crack Commandments - 2014 Remastered Version	The Notorious B.I.G.	Life After Death (Remastered Edition)	True	1	17	spotify:track:1Z7C8ClE8UEaH70jCCeJH2	173.497	audio_features	1	-4.703	1	0.5	0.255	0.781	0.612	0.85	https://api.spotify.com/v1/tracks/1Z7C8ClE8UEaH70jCCeJH2	https://api.spotify.com/v1/audio-analysis/1Z7C8ClE8UEaH70jCCeJH2	204027	4	0.0393	0.0	east coast hip hop	79	73	1997-03-04
117	59	53duuSwaLOZuIrELvZXqLH	5me0Irg2ANcsgc93uaYrpb	7dRdaGSxgcBdJnrOviQRuB	Going Back To Cali - 2014 Remastered Version	The Notorious B.I.G.	Life After Death (Remastered Edition)	True	1	16	spotify:track:53duuSwaLOZuIrELvZXqLH	99.17	audio_features	9	-5.847	1	0.339	0.0447	0.596	0.851	0.647	https://api.spotify.com/v1/tracks/53duuSwaLOZuIrELvZXqLH	https://api.spotify.com/v1/audio-analysis/53duuSwaLOZuIrELvZXqLH	307427	4	0.207	0.0	east coast hip hop	79	73	1997-03-04
126	74	42et6fnHCw1HIPSrdPprMl	6TcnmlCSxihzWOQJ8k0rNS	2gToC0XAblE9h3UZD6aAaQ	Semi-Charmed Life	Third Eye Blind	Third Eye Blind	False	1	3	spotify:track:42et6fnHCw1HIPSrdPprMl	102.026	audio_features	7	-6.576	1	0.0315	0.123	0.7	0.64	0.864	https://api.spotify.com/v1/tracks/42et6fnHCw1HIPSrdPprMl	https://api.spotify.com/v1/audio-analysis/42et6fnHCw1HIPSrdPprMl	268360	4	0.00832	0.0	alternative metal	67	68	1997-04-08
153	66	3354J49VpkbZJho7Ztdzpw	6TcnmlCSxihzWOQJ8k0rNS	2gToC0XAblE9h3UZD6aAaQ	Jumper - 1998 Edit	Third Eye Blind	Third Eye Blind	False	1	4	spotify:track:3354J49VpkbZJho7Ztdzpw	91.105	audio_features	0	-9.226	1	0.0302	0.291	0.624	0.599	0.543	https://api.spotify.com/v1/tracks/3354J49VpkbZJho7Ztdzpw	https://api.spotify.com/v1/audio-analysis/3354J49VpkbZJho7Ztdzpw	272973	4	0.0129	0.00193	alternative metal	67	68	1997-04-08
180	66	3Uvx1TO0Kg5HgGPk58lHXv	6TcnmlCSxihzWOQJ8k0rNS	2gToC0XAblE9h3UZD6aAaQ	How's It Going To Be	Third Eye Blind	Third Eye Blind	False	1	6	spotify:track:3Uvx1TO0Kg5HgGPk58lHXv	80.289	audio_features	5	-9.362	1	0.0263	0.0967	0.574	0.562	0.593	https://api.spotify.com/v1/tracks/3Uvx1TO0Kg5HgGPk58lHXv	https://api.spotify.com/v1/audio-analysis/3Uvx1TO0Kg5HgGPk58lHXv	253413	4	0.00327	0.00139	alternative metal	67	68	1997-04-08
207	78	5UWwZ5lm5PKu6eKsHAGxOk	7jy3rLJdDQY21OgRLCZ9sD	30ly6F6Xl0TKmyBCU50Khv	Everlong	Foo Fighters	The Colour And The Shape	False	1	11	spotify:track:5UWwZ5lm5PKu6eKsHAGxOk	158.066	audio_features	11	-5.54	0	0.0369	0.0805	0.356	0.412	0.882	https://api.spotify.com/v1/tracks/5UWwZ5lm5PKu6eKsHAGxOk	https://api.spotify.com/v1/audio-analysis/5UWwZ5lm5PKu6eKsHAGxOk	250547	4	5.96e-05	0.00031	alternative metal	79	70	1997-05-20
234	68	4dVbhS6OiYvFikshyaQaCN	7jy3rLJdDQY21OgRLCZ9sD	30ly6F6Xl0TKmyBCU50Khv	My Hero	Foo Fighters	The Colour And The Shape	False	1	7	spotify:track:4dVbhS6OiYvFikshyaQaCN	154.047	audio_features	4	-4.212	1	0.0652	0.0575	0.301	0.374	0.927	https://api.spotify.com/v1/tracks/4dVbhS6OiYvFikshyaQaCN	https://api.spotify.com/v1/audio-analysis/4dVbhS6OiYvFikshyaQaCN	260027	4	6.2e-05	0.000177	alternative metal	79	70	1997-05-20
