	popularity	song_id	artist_id	album_id	song_name	artist_name	album_name	explicit	disc_number	track_number	uri	tempo	type	key	loudness	mode	speechiness	liveness	valence	danceability	energy	track_href	analysis_url	duration_ms	time_signature	acousticness	instrumentalness	artist_genres	artist_popularity	album_popularity	album_release_date
0	78	5QjJgPU8AJeickx34f7on6	1vCWHaC5f2uS3yhpwWbIA6	0zt41iQaqe4tyVknMwNNps	Levels - Radio Edit	Avicii	Levels	False	1	1	spotify:track:5QjJgPU8AJeickx34f7on6	126.026	audio_features	1	-5.938	0	0.0344	0.314	0.476	0.605	0.873	https://api.spotify.com/v1/tracks/5QjJgPU8AJeickx34f7on6	https://api.spotify.com/v1/audio-analysis/5QjJgPU8AJeickx34f7on6	199904	4	0.0534	0.837	big room	92.0	67	2011-01-01
27	83	7w87IxuO7BDcJ3YUqCyMTT	7gP3bB2nilZXLfPHJhMdvc	7Kmmw7Z5D2UD5MVwdm10sT	Pumped Up Kicks	Foster The People	Torches	False	1	2	spotify:track:7w87IxuO7BDcJ3YUqCyMTT	127.975	audio_features	5	-5.849	0	0.0292	0.0956	0.965	0.733	0.71	https://api.spotify.com/v1/tracks/7w87IxuO7BDcJ3YUqCyMTT	https://api.spotify.com/v1/audio-analysis/7w87IxuO7BDcJ3YUqCyMTT	239600	4	0.145	0.115	indie pop	77.0	75	2011-05-23
54	70	5Fli1xRi01bvCjsZvKWro0	7gP3bB2nilZXLfPHJhMdvc	7Kmmw7Z5D2UD5MVwdm10sT	Houdini	Foster The People	Torches	False	1	7	spotify:track:5Fli1xRi01bvCjsZvKWro0	110.024	audio_features	8	-3.511	1	0.0458	0.167	0.764	0.632	0.908	https://api.spotify.com/v1/tracks/5Fli1xRi01bvCjsZvKWro0	https://api.spotify.com/v1/audio-analysis/5Fli1xRi01bvCjsZvKWro0	202467	4	0.00762	0.000172	indie pop	77.0	75	2011-05-23
63	74	2z3htsNRuhDN923ITatc56	3TVXtAsR1Inumwj472S9r4	63WdJvk8G9hxJn8u5rswNh	Marvins Room	Drake	Take Care (Deluxe)	True	1	6	spotify:track:2z3htsNRuhDN923ITatc56	166.571	audio_features	9	-17.424	0	0.117	0.0718	0.317	0.407	0.256	https://api.spotify.com/v1/tracks/2z3htsNRuhDN923ITatc56	https://api.spotify.com/v1/audio-analysis/2z3htsNRuhDN923ITatc56	347227	4	0.688	0.00318	canadian hip hop	99.0	76	2011-11-15
90	73	7kfTqGMzIHFWeBeOJALzRf	3TVXtAsR1Inumwj472S9r4	63WdJvk8G9hxJn8u5rswNh	Headlines	Drake	Take Care (Deluxe)	True	1	3	spotify:track:7kfTqGMzIHFWeBeOJALzRf	151.991	audio_features	6	-7.498	0	0.118	0.0915	0.383	0.64	0.554	https://api.spotify.com/v1/tracks/7kfTqGMzIHFWeBeOJALzRf	https://api.spotify.com/v1/audio-analysis/7kfTqGMzIHFWeBeOJALzRf	235987	4	0.335	0.000181	canadian hip hop	99.0	76	2011-11-15
117	73	4wTMBYRE6xVTIUQ6fEudsJ	3TVXtAsR1Inumwj472S9r4	63WdJvk8G9hxJn8u5rswNh	Take Care	Drake	Take Care (Deluxe)	True	1	5	spotify:track:4wTMBYRE6xVTIUQ6fEudsJ	121.927	audio_features	0	-10.418	0	0.235	0.0892	0.321	0.7	0.522	https://api.spotify.com/v1/tracks/4wTMBYRE6xVTIUQ6fEudsJ	https://api.spotify.com/v1/audio-analysis/4wTMBYRE6xVTIUQ6fEudsJ	277387	4	0.0379	8.6e-06	canadian hip hop	99.0	76	2011-11-15
144	70	0rSVWYKiBkirydeEyFevAn	3TVXtAsR1Inumwj472S9r4	63WdJvk8G9hxJn8u5rswNh	HYFR (Hell Ya Fucking Right)	Drake	Take Care (Deluxe)	True	1	16	spotify:track:0rSVWYKiBkirydeEyFevAn	140.013	audio_features	7	-8.844	0	0.19	0.118	0.353	0.586	0.632	https://api.spotify.com/v1/tracks/0rSVWYKiBkirydeEyFevAn	https://api.spotify.com/v1/audio-analysis/0rSVWYKiBkirydeEyFevAn	206627	4	0.132	0.0	canadian hip hop	99.0	76	2011-11-15
171	70	0TiC3GtlMCskf2hIUIBcDV	3TVXtAsR1Inumwj472S9r4	63WdJvk8G9hxJn8u5rswNh	Crew Love	Drake	Take Care (Deluxe)	True	1	4	spotify:track:0TiC3GtlMCskf2hIUIBcDV	160.54	audio_features	0	-8.974	0	0.266	0.242	0.347	0.421	0.547	https://api.spotify.com/v1/tracks/0TiC3GtlMCskf2hIUIBcDV	https://api.spotify.com/v1/audio-analysis/0TiC3GtlMCskf2hIUIBcDV	208813	4	0.211	0.0	canadian hip hop	99.0	76	2011-11-15
198	69	0pN1Ld0Fr9DTUaCGbKRvlF	3TVXtAsR1Inumwj472S9r4	63WdJvk8G9hxJn8u5rswNh	Make Me Proud	Drake	Take Care (Deluxe)	True	1	10	spotify:track:0pN1Ld0Fr9DTUaCGbKRvlF	131.891	audio_features	1	-10.145	1	0.159	0.157	0.325	0.686	0.505	https://api.spotify.com/v1/tracks/0pN1Ld0Fr9DTUaCGbKRvlF	https://api.spotify.com/v1/audio-analysis/0pN1Ld0Fr9DTUaCGbKRvlF	219893	4	0.00351	0.000213	canadian hip hop	99.0	76	2011-11-15
225	68	6k7b4mcxLP5HPo6hNoXoM6	3TVXtAsR1Inumwj472S9r4	63WdJvk8G9hxJn8u5rswNh	Shot For Me	Drake	Take Care (Deluxe)	True	1	2	spotify:track:6k7b4mcxLP5HPo6hNoXoM6	142.809	audio_features	7	-11.944	1	0.279	0.532	0.188	0.49	0.469	https://api.spotify.com/v1/tracks/6k7b4mcxLP5HPo6hNoXoM6	https://api.spotify.com/v1/audio-analysis/6k7b4mcxLP5HPo6hNoXoM6	224720	4	0.0841	0.0	canadian hip hop	99.0	76	2011-11-15
279	67	06UZYUYbMqpaawLgoKwSw9	3TVXtAsR1Inumwj472S9r4	63WdJvk8G9hxJn8u5rswNh	Doing It Wrong	Drake	Take Care (Deluxe)	True	1	13	spotify:track:06UZYUYbMqpaawLgoKwSw9	100.719	audio_features	6	-15.531	0	0.0485	0.107	0.121	0.386	0.173	https://api.spotify.com/v1/tracks/06UZYUYbMqpaawLgoKwSw9	https://api.spotify.com/v1/audio-analysis/06UZYUYbMqpaawLgoKwSw9	265120	4	0.848	0.000122	canadian hip hop	99.0	76	2011-11-15
333	64	4xKp0mZ2hY6eS0ii55KgKR	3TVXtAsR1Inumwj472S9r4	63WdJvk8G9hxJn8u5rswNh	Practice	Drake	Take Care (Deluxe)	True	1	17	spotify:track:4xKp0mZ2hY6eS0ii55KgKR	105.077	audio_features	1	-15.204	1	0.0726	0.119	0.332	0.646	0.244	https://api.spotify.com/v1/tracks/4xKp0mZ2hY6eS0ii55KgKR	https://api.spotify.com/v1/audio-analysis/4xKp0mZ2hY6eS0ii55KgKR	237733	4	0.532	8.39e-05	canadian hip hop	99.0	76	2011-11-15
342	65	1GpSXGBCDDHKRrOTqg4jdr	3TVXtAsR1Inumwj472S9r4	3mGqeHmVPQvBEJJlyWXI4u	Marvins Room	Drake	Marvins Room	True	1	1	spotify:track:1GpSXGBCDDHKRrOTqg4jdr	78.175	audio_features	9	-17.302	0	0.124	0.0842	0.295	0.397	0.26	https://api.spotify.com/v1/tracks/1GpSXGBCDDHKRrOTqg4jdr	https://api.spotify.com/v1/audio-analysis/1GpSXGBCDDHKRrOTqg4jdr	347587	4	0.65	0.00142	canadian hip hop	99.0	53	2011-01-01
366	77	0GO8y8jQk1PkHzS31d699N	3kVUvbeRdcrqQ3oHk5hPdx	3oylWMc9TTC6Nx4I6U3axc	Tongue Tied	Grouplove	Never Trust A Happy Song	False	1	2	spotify:track:0GO8y8jQk1PkHzS31d699N	112.96	audio_features	3	-5.835	1	0.0439	0.161	0.371	0.56	0.936	https://api.spotify.com/v1/tracks/0GO8y8jQk1PkHzS31d699N	https://api.spotify.com/v1/audio-analysis/0GO8y8jQk1PkHzS31d699N	218013	4	0.00847	0.0	indie folk	69.0	67	2011-09-02
393	76	6rbeWjEavBHvX2kr6lSogS	6l3HvQ5sa6mXTsMTB19rO5	4skqOUXyBUnzxVPNPxrGWV	Work Out	J. Cole	Cole World: The Sideline Story	True	1	16	spotify:track:6rbeWjEavBHvX2kr6lSogS	93.004	audio_features	2	-6.903	1	0.106	0.316	0.216	0.831	0.427	https://api.spotify.com/v1/tracks/6rbeWjEavBHvX2kr6lSogS	https://api.spotify.com/v1/audio-analysis/6rbeWjEavBHvX2kr6lSogS	234773	4	0.0531	0.0	pop	93.0	72	2011-09-23
420	67	07NI6CCv57IbIqzy10ddd7	6l3HvQ5sa6mXTsMTB19rO5	4skqOUXyBUnzxVPNPxrGWV	Nobody's Perfect	J. Cole	Cole World: The Sideline Story	True	1	11	spotify:track:07NI6CCv57IbIqzy10ddd7	119.988	audio_features	8	-11.208	0	0.17	0.13	0.427	0.793	0.498	https://api.spotify.com/v1/tracks/07NI6CCv57IbIqzy10ddd7	https://api.spotify.com/v1/audio-analysis/07NI6CCv57IbIqzy10ddd7	190653	4	0.0974	1.26e-05	pop	93.0	72	2011-09-23
456	67	6FedhFiHb0KxTvOD1qEX8L	6l3HvQ5sa6mXTsMTB19rO5	4skqOUXyBUnzxVPNPxrGWV	In the Morning	J. Cole	Cole World: The Sideline Story	True	1	9	spotify:track:6FedhFiHb0KxTvOD1qEX8L	83.078	audio_features	3	-10.598	0	0.477	0.212	0.479	0.44	0.671	https://api.spotify.com/v1/tracks/6FedhFiHb0KxTvOD1qEX8L	https://api.spotify.com/v1/audio-analysis/6FedhFiHb0KxTvOD1qEX8L	234387	4	0.764	0.0	pop	93.0	72	2011-09-23
492	67	20wR5XQpaL1uvVY8gmc4uY	6l3HvQ5sa6mXTsMTB19rO5	4skqOUXyBUnzxVPNPxrGWV	Can't Get Enough	J. Cole	Cole World: The Sideline Story	True	1	3	spotify:track:20wR5XQpaL1uvVY8gmc4uY	132.035	audio_features	2	-7.399	1	0.0658	0.521	0.589	0.768	0.62	https://api.spotify.com/v1/tracks/20wR5XQpaL1uvVY8gmc4uY	https://api.spotify.com/v1/audio-analysis/20wR5XQpaL1uvVY8gmc4uY	225960	4	0.139	0.0	pop	93.0	72	2011-09-23
528	66	3FWR4iiUUPHIK7OpiEgh8J	6l3HvQ5sa6mXTsMTB19rO5	4skqOUXyBUnzxVPNPxrGWV	Lost Ones	J. Cole	Cole World: The Sideline Story	True	1	10	spotify:track:3FWR4iiUUPHIK7OpiEgh8J	81.076	audio_features	5	-8.614	1	0.29	0.0537	0.682	0.727	0.781	https://api.spotify.com/v1/tracks/3FWR4iiUUPHIK7OpiEgh8J	https://api.spotify.com/v1/audio-analysis/3FWR4iiUUPHIK7OpiEgh8J	263720	4	0.103	0.0	pop	93.0	72	2011-09-23
537	77	4kflIGfjdZJW4ot2ioixTB	4dpARuHxo51G3z768sgnrY	1azUkThwd2HfUDdeNeT147	Someone Like You	Adele	21	False	1	11	spotify:track:4kflIGfjdZJW4ot2ioixTB	135.109	audio_features	9	-8.251	1	0.0285	0.0975	0.285	0.559	0.33	https://api.spotify.com/v1/tracks/4kflIGfjdZJW4ot2ioixTB	https://api.spotify.com/v1/audio-analysis/4kflIGfjdZJW4ot2ioixTB	285040	4	0.892	0.0	pop	83.0	74	2011-01-19
564	74	1CkvWZme3pRgbzaxZnTl5X	4dpARuHxo51G3z768sgnrY	1azUkThwd2HfUDdeNeT147	Rolling in the Deep	Adele	21	False	1	1	spotify:track:1CkvWZme3pRgbzaxZnTl5X	104.945	audio_features	8	-5.119	1	0.0294	0.0527	0.522	0.729	0.756	https://api.spotify.com/v1/tracks/1CkvWZme3pRgbzaxZnTl5X	https://api.spotify.com/v1/audio-analysis/1CkvWZme3pRgbzaxZnTl5X	228293	4	0.131	0.0	pop	83.0	74	2011-01-19
591	73	3CKCZ9pfwAfoMZlMncA1Nc	4dpARuHxo51G3z768sgnrY	1azUkThwd2HfUDdeNeT147	Set Fire to the Rain	Adele	21	False	1	5	spotify:track:3CKCZ9pfwAfoMZlMncA1Nc	108.003	audio_features	2	-3.879	0	0.0253	0.125	0.466	0.61	0.683	https://api.spotify.com/v1/tracks/3CKCZ9pfwAfoMZlMncA1Nc	https://api.spotify.com/v1/audio-analysis/3CKCZ9pfwAfoMZlMncA1Nc	241693	4	0.00382	1.79e-06	pop	83.0	74	2011-01-19
618	66	5O6yk6U8L3rTbFsIwuqe8H	4dpARuHxo51G3z768sgnrY	1azUkThwd2HfUDdeNeT147	Turning Tables	Adele	21	False	1	3	spotify:track:5O6yk6U8L3rTbFsIwuqe8H	79.83	audio_features	0	-6.077	0	0.0293	0.129	0.21	0.305	0.452	https://api.spotify.com/v1/tracks/5O6yk6U8L3rTbFsIwuqe8H	https://api.spotify.com/v1/audio-analysis/5O6yk6U8L3rTbFsIwuqe8H	250133	4	0.952	1.68e-05	pop	83.0	74	2011-01-19
627	73	05ZACkzW8YbRq3eFgIfSNB	2IvkS5MXK0vPGnwyJsrEyV	5dtw6CoMhbrSj01YUvdQOF	Springsteen	Eric Church	Chief	False	1	9	spotify:track:05ZACkzW8YbRq3eFgIfSNB	104.023	audio_features	2	-5.935	1	0.0255	0.185	0.927	0.692	0.809	https://api.spotify.com/v1/tracks/05ZACkzW8YbRq3eFgIfSNB	https://api.spotify.com/v1/audio-analysis/05ZACkzW8YbRq3eFgIfSNB	263387	4	0.1	9.77e-05	contemporary country	74.0	67	2011-07-22
654	67	1cktZnxiONH0hR6Q3DKy8h	2IvkS5MXK0vPGnwyJsrEyV	5dtw6CoMhbrSj01YUvdQOF	Drink In My Hand	Eric Church	Chief	False	1	2	spotify:track:1cktZnxiONH0hR6Q3DKy8h	113.044	audio_features	0	-4.452	1	0.0318	0.293	0.946	0.626	0.913	https://api.spotify.com/v1/tracks/1cktZnxiONH0hR6Q3DKy8h	https://api.spotify.com/v1/audio-analysis/1cktZnxiONH0hR6Q3DKy8h	191307	4	0.00635	0.0	contemporary country	74.0	67	2011-07-22
690	79	6lanRgr6wXibZr8KgzXxBl	7H55rcKCfwqkyDFH9wpKM6	15yvc643iYfQtb6zh9NEJo	A Thousand Years	Christina Perri	A Thousand Years	False	1	1	spotify:track:6lanRgr6wXibZr8KgzXxBl	139.028	audio_features	10	-7.445	1	0.0267	0.11	0.161	0.421	0.407	https://api.spotify.com/v1/tracks/6lanRgr6wXibZr8KgzXxBl	https://api.spotify.com/v1/audio-analysis/6lanRgr6wXibZr8KgzXxBl	285120	3	0.309	0.000961	dance pop	73.0	68	2011-10-18
717	74	0HZhYMZOcUzZKSFwPOti6m	7H55rcKCfwqkyDFH9wpKM6	3XNK8vPk3O1rjhDZyOMJ6n	Jar of Hearts	Christina Perri	lovestrong.	False	1	5	spotify:track:0HZhYMZOcUzZKSFwPOti6m	74.541	audio_features	3	-6.142	1	0.0316	0.12	0.0886	0.349	0.348	https://api.spotify.com/v1/tracks/0HZhYMZOcUzZKSFwPOti6m	https://api.spotify.com/v1/audio-analysis/0HZhYMZOcUzZKSFwPOti6m	246587	4	0.726	0.0	dance pop	73.0	66	2011-05-10
771	72	1eyzqe2QqGZUmfcPZtrIyt	63MQldklfxkjYDoUE4Tppz	6R0ynY7RF20ofs9GJR5TXR	Midnight City	M83	Hurry Up, We're Dreaming	False	1	2	spotify:track:1eyzqe2QqGZUmfcPZtrIyt	105.009	audio_features	11	-6.525	0	0.0356	0.179	0.32	0.526	0.712	https://api.spotify.com/v1/tracks/1eyzqe2QqGZUmfcPZtrIyt	https://api.spotify.com/v1/audio-analysis/1eyzqe2QqGZUmfcPZtrIyt	241440	4	0.0161	0.0	indietronica	70.0	64	2011
798	72	4zGvb8hxGLB2jEPRFiRRqw	73sIBHcqh3Z3NyqHKZ7FOL	4q5E2s5u5X5HT4UMJpbMKE	Bonfire	Childish Gambino	Camp	True	1	3	spotify:track:4zGvb8hxGLB2jEPRFiRRqw	161.59	audio_features	1	-5.674	1	0.303	0.347	0.275	0.508	0.763	https://api.spotify.com/v1/tracks/4zGvb8hxGLB2jEPRFiRRqw	https://api.spotify.com/v1/audio-analysis/4zGvb8hxGLB2jEPRFiRRqw	192947	4	0.0627	0.0	hip hop	81.0	67	2011-01-01
825	66	3HooZZPp0evFShqaJ2Pwer	73sIBHcqh3Z3NyqHKZ7FOL	4q5E2s5u5X5HT4UMJpbMKE	Heartbeat	Childish Gambino	Camp	True	1	6	spotify:track:3HooZZPp0evFShqaJ2Pwer	119.954	audio_features	1	-6.843	0	0.119	0.0542	0.325	0.8	0.569	https://api.spotify.com/v1/tracks/3HooZZPp0evFShqaJ2Pwer	https://api.spotify.com/v1/audio-analysis/3HooZZPp0evFShqaJ2Pwer	269840	4	0.00545	0.000319	hip hop	81.0	67	2011-01-01
