	popularity	song_id	artist_id	album_id	song_name	artist_name	album_name	explicit	disc_number	track_number	uri	tempo	type	key	loudness	mode	speechiness	liveness	valence	danceability	energy	track_href	analysis_url	duration_ms	time_signature	acousticness	instrumentalness	artist_genres	artist_popularity	album_popularity	album_release_date
0	68	28UMEtwyUUy5u0UWOVHwiI	5ZEAzHE2TzAwUcOj6jMIgf	3Ohs7Jo6GM6mydUOL0m5aC	"I'll Make a Man Out of You - From ""Mulan""/Soundtrack"	Donny Osmond	Mulan	False	1	3	spotify:track:28UMEtwyUUy5u0UWOVHwiI	113.845	audio_features	7	-17.503	1	0.0372	0.0664	0.519	0.656	0.33	https://api.spotify.com/v1/tracks/28UMEtwyUUy5u0UWOVHwiI	https://api.spotify.com/v1/audio-analysis/28UMEtwyUUy5u0UWOVHwiI	201680	4	0.133	0.000109	bubblegum pop	59.0	61	1998-01-01
27	62	3wjgPeXocinhLyPL37p70e	7G6zawIBBtDX1WvuT97Ei9	3Ohs7Jo6GM6mydUOL0m5aC	"A Girl Worth Fighting For - From ""Mulan""/Soundtrack"	Harvey Fierstein	Mulan	False	1	4	spotify:track:3wjgPeXocinhLyPL37p70e	176.268	audio_features	4	-17.134	1	0.0817	0.242	0.788	0.366	0.349	https://api.spotify.com/v1/tracks/3wjgPeXocinhLyPL37p70e	https://api.spotify.com/v1/audio-analysis/3wjgPeXocinhLyPL37p70e	146053	4	0.581	0.0			61	1998-01-01
36	55	2AILbz83cBnrAMAG06rZts	1GlMjIezcLwV3OFlX0uXOv	3Ohs7Jo6GM6mydUOL0m5aC	"Reflection - From ""Mulan""/Soundtrack Version"	Lea Salonga	Mulan	False	1	2	spotify:track:2AILbz83cBnrAMAG06rZts	84.458	audio_features	9	-19.017	1	0.0372	0.34	0.0901	0.178	0.177	https://api.spotify.com/v1/tracks/2AILbz83cBnrAMAG06rZts	https://api.spotify.com/v1/audio-analysis/2AILbz83cBnrAMAG06rZts	146760	4	0.744	0.00187	hollywood	64.0	61	1998-01-01
60	54	78EMhiyAcalWWtnpk20Eoo	7KNW6OwcA260MsaEtnvhxV	3Ohs7Jo6GM6mydUOL0m5aC	"Honor To Us All - From ""Mulan""/Soundtrack"	Beth Fowler	Mulan	False	1	1	spotify:track:78EMhiyAcalWWtnpk20Eoo	167.84	audio_features	7	-18.978	1	0.061	0.137	0.701	0.475	0.262	https://api.spotify.com/v1/tracks/78EMhiyAcalWWtnpk20Eoo	https://api.spotify.com/v1/audio-analysis/78EMhiyAcalWWtnpk20Eoo	183200	4	0.452	0.0	disney	50.0	61	1998-01-01
63	68	0Z2J91b2iTGLVTZC4fKgxf	1ZwdS5xdxEREPySFridCfh	1WBZyULtlANBKed7Zf9cDP	Hit 'Em Up - Single Version	2Pac	Greatest Hits	True	1	12	spotify:track:0Z2J91b2iTGLVTZC4fKgxf	95.193	audio_features	7	-4.008	1	0.239	0.0757	0.589	0.921	0.843	https://api.spotify.com/v1/tracks/0Z2J91b2iTGLVTZC4fKgxf	https://api.spotify.com/v1/audio-analysis/0Z2J91b2iTGLVTZC4fKgxf	312627	4	0.0466	0.0	g funk	80.0	67	1998-01-01
90	65	3ia3dJETSOllPsv3LJkE35	1ZwdS5xdxEREPySFridCfh	1WBZyULtlANBKed7Zf9cDP	California Love - Original Version	2Pac	Greatest Hits	True	2	6	spotify:track:3ia3dJETSOllPsv3LJkE35	91.513	audio_features	7	-3.002	1	0.0444	0.384	0.773	0.77	0.838	https://api.spotify.com/v1/tracks/3ia3dJETSOllPsv3LJkE35	https://api.spotify.com/v1/audio-analysis/3ia3dJETSOllPsv3LJkE35	284907	4	0.0304	2.39e-06	g funk	80.0	67	1998-01-01
117	61	2zoobJFEB9h15fjYjRd6oP	1ZwdS5xdxEREPySFridCfh	1WBZyULtlANBKed7Zf9cDP	Hail Mary	2Pac	Greatest Hits	True	1	5	spotify:track:2zoobJFEB9h15fjYjRd6oP	81.645	audio_features	10	-6.443	0	0.303	0.367	0.378	0.628	0.638	https://api.spotify.com/v1/tracks/2zoobJFEB9h15fjYjRd6oP	https://api.spotify.com/v1/audio-analysis/2zoobJFEB9h15fjYjRd6oP	312373	4	0.18	3.89e-06	g funk	80.0	67	1998-01-01
171	59	1ofhfV90EnYhEr7Un2fWiv	1ZwdS5xdxEREPySFridCfh	1WBZyULtlANBKed7Zf9cDP	Changes	2Pac	Greatest Hits	True	2	5	spotify:track:1ofhfV90EnYhEr7Un2fWiv	111.111	audio_features	7	-6.336	1	0.0859	0.251	0.281	0.862	0.676	https://api.spotify.com/v1/tracks/1ofhfV90EnYhEr7Un2fWiv	https://api.spotify.com/v1/audio-analysis/1ofhfV90EnYhEr7Un2fWiv	268827	4	0.0378	0.0	g funk	80.0	67	1998-01-01
225	56	3ivJymJnoceuUUe7wTP6m4	1ZwdS5xdxEREPySFridCfh	1WBZyULtlANBKed7Zf9cDP	To Live & Die In L.A.	2Pac	Greatest Hits	True	2	12	spotify:track:3ivJymJnoceuUUe7wTP6m4	173.844	audio_features	9	-6.2	0	0.318	0.334	0.789	0.577	0.86	https://api.spotify.com/v1/tracks/3ivJymJnoceuUUe7wTP6m4	https://api.spotify.com/v1/audio-analysis/3ivJymJnoceuUUe7wTP6m4	272627	4	0.205	0.0	g funk	80.0	67	1998-01-01
261	56	6S5SJlNXgrUBTLa58NMwGk	1ZwdS5xdxEREPySFridCfh	1WBZyULtlANBKed7Zf9cDP	2 Of Amerikaz Most Wanted	2Pac	Greatest Hits	True	1	2	spotify:track:6S5SJlNXgrUBTLa58NMwGk	99.255	audio_features	1	-3.888	1	0.126	0.0512	0.842	0.863	0.881	https://api.spotify.com/v1/tracks/6S5SJlNXgrUBTLa58NMwGk	https://api.spotify.com/v1/audio-analysis/6S5SJlNXgrUBTLa58NMwGk	246667	4	0.0418	0.000648	g funk	80.0	67	1998-01-01
