	popularity	song_id	artist_id	album_id	song_name	artist_name	album_name	explicit	disc_number	track_number	uri	tempo	type	key	loudness	mode	speechiness	liveness	valence	danceability	energy	track_href	analysis_url	duration_ms	time_signature	acousticness	instrumentalness	artist_genres	artist_popularity	album_popularity	album_release_date
0	74	6MdqqkQ8sSC0WB4i8PyRuQ	2P3cjUru4H3fhSXXNxE9kA	2zGZLQiFl9UubtrVmtIkbi	No Diggity	Blackstreet	Another Level	False	1	3	spotify:track:6MdqqkQ8sSC0WB4i8PyRuQ	88.656	audio_features	1	-4.846	0	0.286	0.203	0.653	0.866	0.65	https://api.spotify.com/v1/tracks/6MdqqkQ8sSC0WB4i8PyRuQ	https://api.spotify.com/v1/audio-analysis/6MdqqkQ8sSC0WB4i8PyRuQ	304600	4	0.326	0.0	boy band	67.0	63	1996-09-09
27	78	3ssX20QT5c3nA9wk78V1LQ	1ZwdS5xdxEREPySFridCfh	4CzT5ueFBRpbILw34HQYxi	Ambitionz Az A Ridah	2Pac	All Eyez On Me	True	1	1	spotify:track:3ssX20QT5c3nA9wk78V1LQ	87.276	audio_features	2	-6.566	1	0.225	0.0737	0.804	0.801	0.91	https://api.spotify.com/v1/tracks/3ssX20QT5c3nA9wk78V1LQ	https://api.spotify.com/v1/audio-analysis/3ssX20QT5c3nA9wk78V1LQ	278387	4	0.00239	0.000909	g funk	80.0	76	1996
54	75	2xTft6GEZeTyWNpdX94rkf	1ZwdS5xdxEREPySFridCfh	4CzT5ueFBRpbILw34HQYxi	All Eyez On Me	2Pac	All Eyez On Me	True	2	10	spotify:track:2xTft6GEZeTyWNpdX94rkf	93.279	audio_features	1	-5.968	1	0.247	0.327	0.843	0.872	0.723	https://api.spotify.com/v1/tracks/2xTft6GEZeTyWNpdX94rkf	https://api.spotify.com/v1/audio-analysis/2xTft6GEZeTyWNpdX94rkf	307773	4	0.0293	0.0	g funk	80.0	76	1996
81	69	13XHuE00ElL5thSxkaEXxK	1ZwdS5xdxEREPySFridCfh	4CzT5ueFBRpbILw34HQYxi	Only God Can Judge Me	2Pac	All Eyez On Me	True	1	10	spotify:track:13XHuE00ElL5thSxkaEXxK	90.188	audio_features	11	-6.009	0	0.205	0.0764	0.806	0.802	0.787	https://api.spotify.com/v1/tracks/13XHuE00ElL5thSxkaEXxK	https://api.spotify.com/v1/audio-analysis/13XHuE00ElL5thSxkaEXxK	296907	4	0.00127	0.000181	g funk	80.0	76	1996
108	67	7HFl64GKBtPTa5YoW7j4jL	1ZwdS5xdxEREPySFridCfh	4CzT5ueFBRpbILw34HQYxi	All About U	2Pac	All Eyez On Me	True	1	2	spotify:track:7HFl64GKBtPTa5YoW7j4jL	103.208	audio_features	2	-4.003	1	0.134	0.314	0.763	0.856	0.793	https://api.spotify.com/v1/tracks/7HFl64GKBtPTa5YoW7j4jL	https://api.spotify.com/v1/audio-analysis/7HFl64GKBtPTa5YoW7j4jL	276813	4	0.0651	0.0	g funk	80.0	76	1996
135	66	09EwNbGvUyu7BDEYG0cJro	1ZwdS5xdxEREPySFridCfh	4CzT5ueFBRpbILw34HQYxi	Can't C Me	2Pac	All Eyez On Me	True	2	1	spotify:track:09EwNbGvUyu7BDEYG0cJro	95.442	audio_features	0	-2.238	1	0.178	0.39	0.672	0.795	0.852	https://api.spotify.com/v1/tracks/09EwNbGvUyu7BDEYG0cJro	https://api.spotify.com/v1/audio-analysis/09EwNbGvUyu7BDEYG0cJro	330760	4	0.0442	3.36e-06	g funk	80.0	76	1996
189	64	5Ddu4AaN1VaZ1MTg1neCl7	1ZwdS5xdxEREPySFridCfh	4CzT5ueFBRpbILw34HQYxi	2 Of Amerikaz Most Wanted	2Pac	All Eyez On Me	True	1	6	spotify:track:5Ddu4AaN1VaZ1MTg1neCl7	99.259	audio_features	8	-4.78	1	0.138	0.0545	0.854	0.849	0.904	https://api.spotify.com/v1/tracks/5Ddu4AaN1VaZ1MTg1neCl7	https://api.spotify.com/v1/audio-analysis/5Ddu4AaN1VaZ1MTg1neCl7	246533	4	0.0245	5.11e-05	g funk	80.0	76	1996
243	61	1eduDdsjMO7Or4EXnMf2iS	1ZwdS5xdxEREPySFridCfh	4CzT5ueFBRpbILw34HQYxi	How Do You Want It	2Pac	All Eyez On Me	True	1	5	spotify:track:1eduDdsjMO7Or4EXnMf2iS	92.482	audio_features	8	-3.701	1	0.0972	0.0624	0.73	0.762	0.838	https://api.spotify.com/v1/tracks/1eduDdsjMO7Or4EXnMf2iS	https://api.spotify.com/v1/audio-analysis/1eduDdsjMO7Or4EXnMf2iS	287547	4	0.0327	0.0	g funk	80.0	76	1996
297	60	6EVKzzNM0ZhEvJTBk2SACX	1ZwdS5xdxEREPySFridCfh	4CzT5ueFBRpbILw34HQYxi	Ratha Be Ya N____	2Pac	All Eyez On Me	True	2	9	spotify:track:6EVKzzNM0ZhEvJTBk2SACX	84.755	audio_features	2	-5.573	1	0.291	0.725	0.552	0.684	0.556	https://api.spotify.com/v1/tracks/6EVKzzNM0ZhEvJTBk2SACX	https://api.spotify.com/v1/audio-analysis/6EVKzzNM0ZhEvJTBk2SACX	253973	4	0.204	0.0	g funk	80.0	76	1996
333	60	37zQVgP3aTLKNvluXLB5Ii	1ZwdS5xdxEREPySFridCfh	4CzT5ueFBRpbILw34HQYxi	Picture Me Rollin'	2Pac	All Eyez On Me	True	2	7	spotify:track:37zQVgP3aTLKNvluXLB5Ii	95.923	audio_features	7	-4.918	1	0.146	0.471	0.437	0.831	0.759	https://api.spotify.com/v1/tracks/37zQVgP3aTLKNvluXLB5Ii	https://api.spotify.com/v1/audio-analysis/37zQVgP3aTLKNvluXLB5Ii	314720	4	0.0278	0.0	g funk	80.0	76	1996
